src_date_occurred,src_military_time,src_lease_number,src_area_block,src_accident_type,src_panel_district,src_status
2/8/2007,21:45,G05625,ST 245,- Crane ,DISTRICT,Complete
7/12/2009,20:30,G05625,ST 245,- Incident >$25K - Crane - Structural Damage ,DISTRICT,Complete
10/3/2002,8:01,G22756,ST 248,- Hurricane Damage To SS Well #1,DISTRICT,Complete
8/11/2007,18:20,G23936,ST 254,- Pollution - Malfunctioning LSH,DISTRICT,Complete
1/7/2003,9:00,G12037,ST 260,- Collision - Explosion - Fire - Pollution ,DISTRICT,Complete
3/29/2004,1:30,G12037,ST 260,- Collision ,DISTRICT,Complete
12/20/2013,3:00,G32224,ST 285,- Other,DISTRICT,Complete
5/17/2014,8:30,G32224,ST 285,- LTA (>3 days) - RW/JT (1-3 days) - Flash of gas ignited,DISTRICT,Complete
9/7/2002,12:00,G16455,ST 291,- Blowout ,DISTRICT,Complete
4/29/2011,9:00,G16455,ST 291,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
6/9/2009,10:01,G05646,ST 295,- Incident >$25K ,DISTRICT,Complete
11/23/2006,19:50,G04240,ST 300,- LTA (>3 days) - Required Evacuation - Explosion ,DISTRICT,Complete
2/13/2009,10:12,G04240,ST 300,- Shutdown from Gas Release - Crane - Required Muster ,DISTRICT,Complete
11/7/2001,10:35,G21685,ST 308,- Pollution ,DISTRICT,Complete
2/10/2005,4:30,G21685,ST 308,- Crane/Helicopter,DISTRICT,Complete
11/2/2005,23:30,G21685,ST 308,- Injury ,DISTRICT,Complete
4/23/2008,8:01,G21685,ST 308,- Well Control,DISTRICT,Complete
1/8/2009,1:30,G21685,ST 308,- Fire ,DISTRICT,Complete
9/4/2018,2:17,G31418,ST 311,- Pollution ,DISTRICT,Complete
1/23/2020,12:00,G31418,ST 311,- Other Injury - Shutdown from Gas Release - Required Evacuation - Fire - Incident >$25K - Required Muster ,DISTRICT,Complete
6/25/2018,17:30,G12027,PL 5,- Required Muster ,DISTRICT,Complete
2/14/2008,17:30,G02925,PL 10,- Shutdown from Gas Release ,PANEL,Complete
9/28/2009,16:45,G02925,PL 10,- Fire ,DISTRICT,Complete
6/3/2012,10:45, 00071,PL 11,- Required Evacuation - Fire - Chemical fire,DISTRICT,Complete
10/10/2005,12:00, 00072,PL 12,- Collision ,DISTRICT,Complete
6/10/2005,9:30,G03171,PL 13,- Pollution - pollution through human error.,DISTRICT,Complete
2/15/2006,14:00,G03171,PL 13,- Crane Incident,DISTRICT,Complete
1/26/2005,13:00,G09652,PL 15,- Fatality ,PANEL,Complete
6/9/2001,20:30,G01238,PL 23,- Fire ,DISTRICT,Complete
7/5/2001,21:00,G01238,PL 23,- Pollution - ruptured flowline,DISTRICT,Complete
4/3/2008,16:30,G01238,PL 23,- Collision >$25K ,DISTRICT,Complete
2/29/2016,19:30,G01238,PL 23,- Fire - Required Muster ,DISTRICT,Complete
8/1/2021,10:10,G01238,PL 23,- Fire ,DISTRICT,Complete
4/8/2019,6:00,G01238,PL 23,- Fire - Incident >$25K ,DISTRICT,Complete
9/23/2021,10:10,G01238,PL 23,- Fire - Incident >$25K ,DISTRICT,Complete
8/5/2025,7:40, 00370,BM 3,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
3/4/2012,19:00, 00031,GI 22,- Incident >$25K - Crane ,DISTRICT,Complete
8/6/2013,19:25, 00031,GI 22,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
10/24/2013,8:50, 00031,GI 22,- LTA (1-3) days - Required Evacuation - Fire ,DISTRICT,Complete
7/16/2019,7:00, 00031,GI 22,- Pollution ,DISTRICT,Complete
11/2/2002,11:45, 00174,GI 32,- crane accident,DISTRICT,Complete
2/13/2008,20:00,G01580,GI 32,- RW/JT (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
2/28/2006,13:00, 00392,GI 37,- Fatality ,PANEL,Complete
4/19/2007,10:45, 00392,GI 37,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
3/10/2007,15:25, 00392,GI 37,- RW/JT (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
8/25/2011,5:00, 00392,GI 37,- Incident >$25K - Structural Damage ,DISTRICT,Complete
12/10/2007,23:30, 00127,GI 39,- Collision >$25K - Structural Damage - TOPPLED PLATFORM,DISTRICT,Complete
5/7/2008,18:30, 00127,GI 39,- RW/JT (>3 days) ,DISTRICT,Complete
6/5/2008,10:15, 00129,GI 41,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
7/8/2012,10:30, 00175,GI 43,- LTA (>3 days) - Required Evacuation - Failed Communication,DISTRICT,Complete
1/26/2018,6:00, 00175,GI 43,- Pollution ,DISTRICT,Complete
8/18/2021,13:00, 00175,GI 43,- Incident >$25K - Crane ,DISTRICT,Complete
7/11/2003,7:45, 00133,GI 47,- Collision - Rig move,DISTRICT,Complete
8/15/2006,17:45, 00133,GI 47,- Pollution ,DISTRICT,Complete
1/9/2008,9:30, 00133,GI 47,- Pollution ,DISTRICT,Complete
4/18/2008,2:55, 00133,GI 47,- LTA (>3 days) ,DISTRICT,Complete
11/13/2008,1:00, 00133,GI 47,- Pollution ,DISTRICT,Complete
1/15/2016,15:30, 00133,GI 47,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
4/14/2026,6:00, 00133,GI 47,- Collision >$25K - Incident >$25K - Structural Damage ,DISTRICT,Pending
4/25/2025,13:30, 00133,GI 47,- Other Injury - Required Evacuation ,DISTRICT,Complete
5/5/2026,3:00, 00134,GI 48,- Collision >$25K - Collision - Incident >$25K - Structural Damage ,DISTRICT,Complete
2/2/2004,9:25, 00177,GI 52,- Pollution ,DISTRICT,Complete
8/25/2018,7:30,G02161,GI 76,- Pollution - Spill,DISTRICT,Complete
9/26/2007,19:25,G12989,GI 78,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
8/8/2002,8:30,G04003,GI 90,- Blowout - Fire ,PANEL,Complete
11/14/2002,2:00,G02628,GI 93,- Blowout ,PANEL,Complete
6/28/2006,2:10,G25000,WD 20,- Fatality ,PANEL,Complete
12/17/2007,2:00,G04473,WD 27,- Shutdown from Gas Release - Collision >$25K - Structural Damage ,DISTRICT,Complete
12/17/2013,10:45,G04473,WD 27,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
11/24/2019,7:00, 00023,WD 27,- Fire ,DISTRICT,Complete
3/31/2006,8:45, 00385,WD 29,- Crane Failure,DISTRICT,Complete
8/22/2007,15:00, 00385,WD 29,- LTA (>3 days) - RW/JT (>3 days) - Required Evacuation - Explosion - Fire ,DISTRICT,Complete
1/12/2004,9:00, 00026,WD 30,- Pollution ,DISTRICT,Complete
9/26/2021,9:30, 00026,WD 30,- Other Injury - Required Evacuation ,DISTRICT,Complete
1/24/2020,19:00, 00026,WD 30,- Material Lost Overboard,DISTRICT,Complete
1/9/2021,8:30, 00026,WD 30,- Shutdown from Gas Release ,DISTRICT,Complete
11/19/2022,4:30, 00016,WD 31,- Incident >$25K - Structural Damage ,DISTRICT,Complete
11/16/2012,8:45, 00367,WD 32,- LTA (>3 days) - Required Evacuation - Explosion - Fire - Fatality - Pollution ,PANEL,Complete
3/25/2014,22:00, 00367,WD 32,- Fire ,DISTRICT,Complete
7/30/2014,20:30, 00367,WD 32,- Incident >$25K - Crane ,DISTRICT,Complete
9/21/2016,8:28, 00367,WD 32,- Pollution ,DISTRICT,Complete
5/25/2006,15:00,G03414,WD 34,- Pollution ,DISTRICT,Complete
5/11/2008,22:50,G01072,WD 40,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
11/30/2008,8:00,G01072,WD 40,- Fire - Incident >$25K ,DISTRICT,Complete
9/17/2011,13:55,G01073,WD 41,- Pollution - Pressure Regulator Failure,DISTRICT,Complete
10/30/2007,14:00, 00138,WD 45,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
6/24/2005,11:00,G03601,WD 62,- Explosion - Injury ,DISTRICT,Complete
9/4/2012,11:30, 00182,WD 70,- Collision >$25K - Collision - Fire - Pollution - Incident >$25K - Structural Damage ,DISTRICT,Complete
2/10/2006,8:00, 00838,WD 71,- Injury ,DISTRICT,Complete
8/25/2006,16:20, 00838,WD 71,- Incident >$25K - Crane - crane,DISTRICT,Complete
2/6/2006,2:30,G01083,WD 73,- Fire ,DISTRICT,Complete
1/6/2011,9:15,G01083,WD 73,- Pollution - Faulty Deck Drain Sump,DISTRICT,Complete
9/13/2012,3:30,G01083,WD 73,Damaged/Disabled Safety Sys. - Incident >$25K ,DISTRICT,Complete
9/25/2021,10:30,G01083,WD 73,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
5/3/2016,16:20,G01083,WD 73,- Crane ,DISTRICT,Complete
5/27/2019,14:30,G01083,WD 73,- Incident >$25K - Crane ,DISTRICT,Complete
3/20/2019,12:00,G01083,WD 73,- Pollution ,DISTRICT,Complete
2/25/2022,5:30,G01083,WD 73,- Pollution ,DISTRICT,Complete
6/19/2022,9:30,G01083,WD 73,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
2/17/2023,4:30,G01083,WD 73,- Shutdown from Gas Release - Pollution - Incident >$25K - Required Muster ,DISTRICT,Complete
5/13/2022,:11,G01084,WD 74,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
7/29/2022,9:00,G01084,WD 74,- Shutdown from Gas Release ,DISTRICT,Complete
6/21/2003,6:30,G01874,WD 79,- Pollution - 1.2 barrel spill,DISTRICT,Complete
7/10/2013,9:40,G01449,WD 79,- Fire ,DISTRICT,Complete
1/10/2022,6:00,G01874,WD 80,- Pollution - Required Muster ,DISTRICT,Complete
10/23/2014,15:50,G02934,WD 86,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
11/6/2007,20:00,G01088,WD 89,- RW/JT (>3 days) ,DISTRICT,Complete
4/21/2025,19:30,G01089,WD 90,- Pollution ,DISTRICT,Complete
1/12/2002,17:15, 00839,WD 94,- Blowout - Pollution - wellhead failure,DISTRICT,Complete
4/12/2008,12:30, 00839,WD 94,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
5/7/2008,7:05,G01498,WD 96,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
3/18/2013,8:45, 00842,WD 105,- Other Injury - Required Evacuation - Crane ,DISTRICT,Complete
11/20/2014,14:40,,WD 105,- LTA (>3 days) - Required Evacuation - Explosion - Fatality - Pressure Release,PANEL,Complete
11/29/2020,6:57, 00842,WD 105,- Fire ,DISTRICT,Complete
4/25/2008,3:00,G02937,WD 109,- Collision >$25K ,DISTRICT,Complete
4/6/2022,12:15,G02937,WD 109,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
8/6/2002,1:15,G01101,WD 117,- Pollution ,DISTRICT,Complete
2/14/2003,10:00,G01101,WD 117,- Pollution ,DISTRICT,Complete
3/18/2011,15:54,G01101,WD 117,- Pollution - P&A casing flow,DISTRICT,Complete
9/9/2018,11:30,G01106,WD 133,- Pollution - Incident >$25K ,DISTRICT,Complete
11/28/2003,19:00,G04475,WD 143,- Pollution ,DISTRICT,Complete
3/21/2008,11:05,,WD 143,- LTA (>3 days) - Required Evacuation - Pollution ,DISTRICT,Complete
7/11/2003,23:15,G01604,WD 152,- Fire ,DISTRICT,Complete
1/17/2019,9:30,G01604,WD 152,- Fire - Incident >$25K ,DISTRICT,Complete
8/27/2025,10:45,G37455,WD 152,- Incident >$25K - Crane ,DISTRICT,Complete
3/30/2026,9:35, 00693,SP 27,- Crane ,DISTRICT,Complete
7/18/2025,7:30, 00693,SP 27,- Structural Damage ,DISTRICT,Complete
9/21/2023,7:45, 00694,SP 28,- Pollution ,DISTRICT,Complete
12/29/2007,15:50,G21695,SP 38,- LTA (>3 days) - Required Evacuation - Fatality ,DISTRICT,Complete
11/29/2006,8:30,G02177,SP 49,- Pollution ,DISTRICT,Complete
11/17/2006,10:20,G02177,SP 49,- Fire ,DISTRICT,Complete
2/5/2008,19:20,G02177,SP 49,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
9/8/2020,13:30,G02177,SP 49,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
7/30/2025,13:10,G02177,SP 49,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
5/22/2002,2:20,G02940,SP 57,- Pollution ,DISTRICT,Complete
8/23/2007,15:10,G02181,SP 57,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
10/17/2020,4:45,G02940,SP 57,- Required Evacuation - Incident >$25K - Structural Damage - Allision,DISTRICT,Complete
9/6/2008,4:00,G01608,SP 60,- Explosion - Fire ,DISTRICT,Complete
8/11/2009,8:30,G01608,SP 60,- Fire ,DISTRICT,Complete
5/18/2013,6:00,,SP 60,- Pollution ,DISTRICT,Complete
6/5/2019,9:15,G01608,SP 60,- Other Injury ,DISTRICT,Complete
6/17/2002,:10,G01294,SP 62,- Fatality ,PANEL,Complete
3/17/2005,4:00,G01294,SP 62,- Fast line on crane broke.,DISTRICT,Complete
11/3/2025,12:05,G01294,SP 62,- Shutdown from Gas Release - Incident >$25K ,DISTRICT,Complete
9/25/2001,15:30,G01610,SP 65,- Pollution ,DISTRICT,Complete
8/7/2014,15:40,G01610,SP 65,- LTA (>3 days) - Required Evacuation - Other Lifting Device ,DISTRICT,Complete
5/6/2005,9:45,G01612,SP 67,- Pollution ,DISTRICT,Complete
2/9/2006,13:30,G05051,SP 75,- Injury - open hole,DISTRICT,Complete
6/4/2017,19:35,G02184,SP 77,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
11/15/2007,5:30,G02185,SP 78,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
5/19/2007,:45,G05052,SP 83,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
1/7/2021,2:06,G05052,SP 83,- Collision >$25K - Incident >$25K - Structural Damage ,DISTRICT,Complete
9/21/2023,15:05,G05052,SP 83,- Other Injury - Required Evacuation ,DISTRICT,Complete
5/29/2012,12:05,G01619,SP 93,- LTA (>3 days) - Required Evacuation - Explosion - Fire - Required Muster - Loss of Well Control,DISTRICT,Complete
10/20/2014,10:00,G01619,SP 93,- Fire ,DISTRICT,Complete
10/9/2015,:15,G01619,SP 93,- Fire - Required Muster ,DISTRICT,Complete
1/27/2017,8:00,G01619,SP 93,- RW/JT (1-3 days) - Other Injury - Required Evacuation - Crane ,DISTRICT,Complete
8/11/2002,16:00,G02650,EB 110,- Fire ,DISTRICT,Complete
9/18/2013,16:00,,EB 110,- Structural Damage ,DISTRICT,Complete
9/21/2016,19:15,G02650,EB 110,- Incident >$25K - Crane ,DISTRICT,Complete
8/10/2017,13:50,G02650,EB 110,- LTA (>3 days) - Required Evacuation - Fire ,DISTRICT,Complete
11/3/2013,16:35,G02646,EB 159,- Fire ,DISTRICT,Complete
1/5/2014,17:45,G02646,EB 159,- Fire - Generator Fire.,DISTRICT,Complete
1/18/2017,4:00,G02646,EB 159,- Casing weld failure,DISTRICT,Complete
1/7/2003,10:00,G02647,EB 160,- Pollution ,DISTRICT,Complete
11/3/2015,16:40,G02647,EB 160,- RW/JT (1-3 days) - Required Evacuation ,DISTRICT,Complete
12/1/2015,22:00,G02647,EB 160,- Incident >$25K - Crane ,DISTRICT,Complete
2/5/2016,6:40,,EB 160,- Crane ,DISTRICT,Complete
12/9/2019,7:00,G02647,EB 160,- Crane ,DISTRICT,Complete
9/29/2010,18:45,G17232,EB 164,- Pollution - TA'd Well Leak,DISTRICT,Complete
6/7/2006,11:30,G06280,EB 165,- Fire - Injury ,DISTRICT,Complete
12/15/1995,8:00,G03265,WC 198,- Pollution ,PANEL,Complete
8/24/1995,10:45, 00374,MP 41,- Fatality ,PANEL,Complete
8/31/1997,3:20,G01367,MP 42,- Explosion - Fire ,DISTRICT,Complete
9/1/1998,9:10, 00378,MP 58,- Pollution ,DISTRICT,Complete
9/9/1997,1:00,G03194,MP 59,- Fire - Injury - Pollution ,DISTRICT,Complete
1/16/1997,3:10,G01366,MP 92,- Fire - Pollution ,DISTRICT,Complete
1/19/1995,19:15,G12088,MP 123,- Injury - Fatality ,DISTRICT,Complete
1/5/1997,14:50,G02193,MP 140,- Dropped load,DISTRICT,Complete
8/11/1999,5:45,G02193,MP 140,- Pollution ,DISTRICT,Complete
5/10/1998,15:30,G01967,MP 153,- Fatality - Falling object,DISTRICT,Complete
7/17/1998,12:10,G01967,MP 153,- Injury - Fatality ,PANEL,Complete
6/25/1998,12:00,G05705,MP 165,- Fire ,DISTRICT,Complete
6/28/1998,19:00,G12096,MP 223,- Pollution ,DISTRICT,Complete
4/14/1999,4:30,G15387,MP 250,- Pollution ,DISTRICT,Complete
8/3/1999,5:15,G14585,MP 264,- Fire ,DISTRICT,Complete
9/19/1997,21:10,G01665,MP 288,- Fire ,DISTRICT,Complete
10/26/1997,1:15,G01665,MP 288,- Fire ,DISTRICT,Complete
3/4/1997,9:00,G01670,MP 293,- Fire ,DISTRICT,Complete
4/18/1995,6:00,G12362,MP 299,- Pollution ,DISTRICT,Complete
5/21/1997,22:30,G01316,MP 299,- Explosion - Injury ,DISTRICT,Complete
10/20/1997,24:00,G09372,MP 299,- Blowout ,DISTRICT,Complete
8/11/1999,12:30,G09372,MP 299,- Blowout ,DISTRICT,Complete
12/5/1999,12:15,G09372,MP 299,- Blowout ,DISTRICT,Complete
6/8/1998,2:45,G01676,MP 305,- Injury ,DISTRICT,Complete
12/2/1997,13:30,G01677,MP 306,- Explosion - Fire - Pollution ,DISTRICT,Complete
3/3/1997,19:00,G06842,CA 40,- Fire ,DISTRICT,Complete
12/24/1997,10:45,G03275,WC 331,- Fatality - See OCS Report MMS 99-0009,PANEL,Complete
7/21/1995,10:45,G05322,WC 421,- Collision ,DISTRICT,Complete
1/4/1995,15:00,G10605,EC 2,- Fire ,DISTRICT,Complete
12/20/1997,16:00,G03288,EC 46,- Fire ,DISTRICT,Complete
3/8/1996,17:00,G03289,EC 57,- Fire ,DISTRICT,Complete
6/26/1995,11:15,G05359,EC 60,- Fire ,DISTRICT,Complete
4/9/1999,13:55,G05359,EC 60,- Fire - Injury - Fatality - Pollution ,PANEL,Complete
7/8/1998,14:30, 00161,EC 67,- Blowout - Pollution -   (WELL B-7),DISTRICT,Complete
5/31/1997,20:00,G08641,EC 83,- Blowout ,DISTRICT,Complete
2/21/1996,7:15,G08418,EC 189,- Fatality ,DISTRICT,Complete
7/6/1995,11:15,G07652,EC 219,- Pollution ,DISTRICT,Complete
4/3/1996,21:00,G03323,EC 220,- Fire - Injury ,DISTRICT,Complete
6/9/1997,10:45,G03323,EC 220,- Fire ,DISTRICT,Complete
9/30/1996,14:15,G02038,EC 231,- Fire - Injury ,DISTRICT,Complete
4/28/1998,8:30,G00971,EC 261,- Injury ,DISTRICT,Complete
6/15/1996,17:00,G02047,EC 272,- Fire ,DISTRICT,Complete
3/26/1996,3:30,G02047,EC 272,- Fire ,DISTRICT,Complete
8/31/1996,12:16,G02047,EC 272,- Fire ,DISTRICT,Complete
3/22/1997,18:00,G02047,EC 272,- Fire ,DISTRICT,Complete
2/9/1999,6:00,G02047,EC 272,- Pollution ,DISTRICT,Complete
9/30/1996,10:20,G00974,EC 278,- Fire ,DISTRICT,Complete
9/17/1996,10:00,G00974,EC 278,- Injury ,DISTRICT,Complete
8/25/1995,6:16,G02050,EC 281,- Fire ,DISTRICT,Complete
9/23/1997,13:50,G05391,EC 299,- Fire ,DISTRICT,Complete
