src_date_occurred,src_military_time,src_lease_number,src_area_block,src_accident_type,src_panel_district,src_status
6/6/1996,1:00,G01034,SS 266,- Fire ,DISTRICT,Complete
3/13/1997,7:30,G01034,SS 266,- Fire ,DISTRICT,Complete
3/7/1997,6:45,G01034,SS 266,- Fire ,DISTRICT,Complete
9/7/1999,12:45,G01607,SP 55,- Pollution ,DISTRICT,Complete
11/17/1995,13:30,G08241,GB 426,- Pollution ,DISTRICT,Complete
1/25/2000,7:20,G13114,MC 248,- Pollution ,DISTRICT,Complete
3/22/2000,5:00,G16141,WC 317,- Blowout ,DISTRICT,Complete
4/25/2001,1:40,G02006,WC 504,- Explosion - wireline lubricator ruptured,DISTRICT,Complete
5/2/2001,15:15,G02234,WC 620,- crane failure,DISTRICT,Complete
4/29/1999,14:30,G11455,GB 128,- CRANE ACCIDENT,DISTRICT,Complete
3/20/2001,10:41,G02045,EC 270,- Fatality ,DISTRICT,Complete
10/20/2000,15:50, 00767,EC 47,- Injury ,DISTRICT,Complete
3/20/2001,12:20,G04126,MP 310,- Pollution ,DISTRICT,Complete
11/14/1999,5:00,G13367,GB 161,- Fatality ,DISTRICT,Complete
6/28/2000,4:00,G15607,GC 743,- inadvertent riser disconnect,DISTRICT,Complete
6/3/2000,21:45,G16698,GC 155,- Injury ,DISTRICT,Complete
1/27/2001,23:24,G19028,EB 599,- Emergency disconnect of LMRP,DISTRICT,Complete
3/8/2001,9:00,G19028,EB 599,- Injury ,DISTRICT,Complete
2/8/2000,6:55,G01618,SP 89,- Explosion ,DISTRICT,Complete
9/23/2000,22:45,G01619,SP 93,- Pollution ,DISTRICT,Complete
3/10/2000,15:40, 00385,WD 28,- Injury ,DISTRICT,Complete
2/27/2000,2:30, 00385,WD 29,- Pollution - synthetic based mud,DISTRICT,Complete
7/5/2000,16:45, 00146,WD 58,- Fire ,DISTRICT,Complete
1/26/2000,10:45,G01085,WD 75,- Crane failure,DISTRICT,Complete
4/18/2001,10:26,G01085,WD 75,- Collision ,DISTRICT,Complete
9/5/2000,16:30,G01089,WD 90,- Pollution ,DISTRICT,Complete
11/15/2000,1:30,G12027,PL 5,- Fire ,DISTRICT,Complete
3/21/2000,22:25,G01569,ST 185,- Injury - Crane Accident,PANEL,Complete
4/16/2001,9:20, 00165,ST 22,- Collision - Pollution ,DISTRICT,Complete
8/26/2000,15:30,G02625,ST 37,- Fire ,DISTRICT,Complete
8/15/2000,14:00, 00015,ST 53,- Fire ,DISTRICT,Complete
4/27/2000,7:00, 00599,ST 63,- Crane slings parted,DISTRICT,Complete
5/4/2000,22:30,G01244,ST 72,- Pollution ,DISTRICT,Complete
5/22/2000,9:00, 00605,ST 86,- Release of H2S,DISTRICT,Complete
7/26/2000,10:00, 00605,ST 86,- H2S release,DISTRICT,Complete
1/21/2000,10:00,G04826,SS 332,- Pollution ,DISTRICT,Complete
1/30/2001,5:00, 00069,SS 119,- Collision - Hit by fishing boat,DISTRICT,Complete
3/29/2000,12:30,G01014,SS 145,- Crane/Equipment Overboard,DISTRICT,Complete
3/7/2000,6:35, 00434,SS 149,- Fire ,DISTRICT,Complete
12/21/2000,5:50,G03998,SS 182,- Fire ,DISTRICT,Complete
9/13/2000,8:00,G15276,SS 76,- Collision ,DISTRICT,Complete
3/1/2001,2:00,G00991,EI 284,- Blowout - Fire ,PANEL,Complete
8/15/2000,6:15,G02914,EI 341,- Pollution ,DISTRICT,Complete
2/24/2001,12:30,G02914,EI 341,- Fire ,DISTRICT,Complete
4/1/2000,7:00, 00577,EI 208,- Pollution ,DISTRICT,Complete
3/12/2000,6:30,G02900,EI 261,- Fire ,DISTRICT,Complete
5/11/2000,21:35, 00811,EI 266,- Collision ,DISTRICT,Complete
12/9/1999,5:30,G00987,EI 273,- Injury ,DISTRICT,Complete
8/9/2000,18:35,G00988,EI 275,- Fire - Pollution ,DISTRICT,Complete
8/1/2000,2:00, 00046,EI 95,- Collision - Injury ,DISTRICT,Complete
6/6/2000,19:00,G14467,EI 135,- Injury ,DISTRICT,Complete
4/18/2000,19:00,G16337,SM 261,- Collision ,DISTRICT,Complete
5/2/2000,13:00,G09574,EI 30,- Fire ,DISTRICT,Complete
4/2/2001,8:00,G06693,SM 147,- Blowout ,DISTRICT,Complete
4/16/2000,19:15,G01182,SM 11,- Collision ,DISTRICT,Complete
8/29/2000,10:00, 00559,VR 67,- Injury ,DISTRICT,Complete
10/31/2000,14:30,G03393,VR 102,- Cut into live P/L for removal,DISTRICT,Complete
4/5/2000,4:00,G04586,HI A472,- Pollution ,DISTRICT,Complete
3/30/2001,14:00,G14193,HI A560,- Pollution ,DISTRICT,Complete
4/7/2000,3:30,G02392,HI A572,- Blowout ,DISTRICT,Complete
5/9/2001,8:00,G02433,HI A368,- Blowout - Pollution ,PANEL,Complete
3/31/2000,5:20, 00762,WC 176,- Injury ,DISTRICT,Complete
2/28/2001,3:58,G01971,WC 181,- Collision - Explosion - Fire ,DISTRICT,Complete
4/4/2001,12:00, 00190,WC 192,- Blowout - Equipment overboard,DISTRICT,Complete
7/11/2000,17:30,G09408,WC 248,- Fire - Injury ,DISTRICT,Complete
8/14/2000,12:30,G03417,MP 72,- Pollution ,DISTRICT,Complete
7/18/2000,9:35,G04481,MP 77,- Crane,DISTRICT,Complete
9/26/2000,10:45,G01633,MP 133,- Pollution ,DISTRICT,Complete
5/19/2000,7:30,G02193,MP 140,- Fatality ,PANEL,Complete
11/16/2000,18:30,G02951,MP 151,- Fire ,DISTRICT,Complete
5/21/2000,22:00,G01967,MP 153,- Injury ,DISTRICT,Complete
3/4/2000,13:00,G13035,MP 261,- Injury - Hose Rupture,DISTRICT,Complete
8/16/2000,6:45,G04834,MP 265,- Fire ,DISTRICT,Complete
6/8/2000,10:20,G09372,MP 299,- Fire ,DISTRICT,Complete
5/20/2000,8:00,G21153,VK 475,- Injury ,DISTRICT,Complete
10/28/2000,7:30,G06888,VK 826,- Pollution ,DISTRICT,Complete
2/11/2001,13:35,G06898,VK 989,- Fire - Pollution ,DISTRICT,Complete
8/15/2000,20:30,G20605,MU 726,- Blowout ,DISTRICT,Complete
11/18/2000,5:30,G20605,MU 726,- Blowout ,DISTRICT,Complete
1/13/2001,16:15,G20623,GA 190,- Explosion - Fire - Injury ,DISTRICT,Complete
6/23/2004,8:30,G24704,WC 40,- Injury ,DISTRICT,Complete
12/4/2009,16:00, 00299,WC 45,- Incident >$25K ,DISTRICT,Complete
1/29/2006,10:16,G25792,KC 292,- Item Lost Overboard,DISTRICT,Complete
5/24/2001,17:30,G09384,WC 61,- Blowout - Lubricator leak,DISTRICT,Complete
7/10/2008,10:15, 00247,WC 102,- LTA (>3 days) - Required Evacuation - Fire ,DISTRICT,Complete
11/18/2006,13:15,G12761,WC 130,- Pollution ,DISTRICT,Complete
1/27/2009,21:35,G05283,WC 168,- Crane ,DISTRICT,Complete
11/20/2003,9:30, 00190,WC 192,- Fire ,DISTRICT,Complete
6/24/2008,8:00,G24718,WC 202,- Fire ,DISTRICT,Complete
11/6/2004,8:00,G02833,WC 237,- Injury ,DISTRICT,Complete
12/1/2006,13:00,G27008,WC 240,- Fatality ,PANEL,Complete
1/14/2005,11:45,G00911,WC 280,- Injury - Atmospheric release of gas.,DISTRICT,Complete
4/7/2006,22:45,G04903,MP 30,- Injury ,DISTRICT,Complete
10/1/2007,12:05,G04903,MP 30,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
3/7/2009,21:58,,MP 30,- Required Evacuation - Fatality ,PANEL,Complete
1/29/2002,11:25, 00373,MP 40,- Fire - Injury ,DISTRICT,Complete
7/10/2002,:44, 00374,MP 41,- Collision - Pollution ,DISTRICT,Complete
2/17/2009,7:30, 00374,MP 41,- Pollution ,DISTRICT,Complete
4/24/2021,19:00, 00374,MP 41,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
9/7/2006,10:00, 00375,MP 42,- Pollution ,DISTRICT,Complete
9/29/2012,18:03,G01367,MP 42,- LTA (>3 days) - Required Evacuation - Injury,DISTRICT,Complete
9/21/2021,16:08, 00375,MP 42,- Required Evacuation - Fire - Incident >$25K - Required Muster ,DISTRICT,Complete
9/9/2020,8:30, 00375,MP 42,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
11/8/2022,6:45, 00375,MP 42,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
4/27/2025,15:20, 00375,MP 42,- Explosion - Items Overboard,DISTRICT,Complete
12/11/2007,5:40,G03338,MP 44,- Collision >$25K ,DISTRICT,Complete
2/5/2006,11:00,G16493,MP 61,- Fire ,DISTRICT,Complete
8/1/2007,18:15,G16493,MP 61,- Pollution ,DISTRICT,Complete
10/13/2017,5:30,G04909,MP 64,- Collision >$25K - Incident >$25K - Structural Damage ,DISTRICT,Complete
3/25/2022,8:35,G04909,MP 64,- Fatality - Incident >$25K - Structural Damage ,PANEL,Pending
10/9/2021,9:10,G04909,MP 64,- Explosion - Line Failure and Rupture,DISTRICT,Complete
12/4/2006,23:00, 00372,MP 69,- Explosion - Pollution - Incident >$25K ,DISTRICT,Complete
7/3/2002,19:30,G03417,MP 72,- Pollution ,DISTRICT,Complete
10/25/2007,18:30,G02947,MP 73,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
11/7/2007,4:15,G02947,MP 73,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
11/4/2017,14:40,G02947,MP 73,- Fire - Incident >$25K - Required Muster ,DISTRICT,Complete
1/27/2022,16:25,G02947,MP 73,- Fire - Required Muster ,DISTRICT,Complete
1/30/2022,5:30,G02947,MP 73,- Fire - Incident >$25K ,DISTRICT,Complete
8/1/2006,7:30,G04481,MP 77,- Pollution - Pollution,DISTRICT,Complete
2/22/2007,17:30,G04481,MP 77,- Fire ,DISTRICT,Complete
8/23/2007,10:00,G14576,MP 91,- Other,PANEL,Complete
8/12/2005,12:12,G05694,MP 98,- Injury - Fatality ,PANEL,Complete
4/19/2004,19:00,G21703,MP 99,- Injury ,DISTRICT,Complete
4/13/2006,7:30,G22792,MP 101,- Fire - Injury ,DISTRICT,Complete
10/2/2002,12:00,G18088,MP 107,- Rig damage from Hurricane Lili,DISTRICT,Complete
3/1/2009,12:00,G31435,MP 107,- Required Evacuation ,DISTRICT,Complete
6/5/2013,16:00,G31435,MP 107,- LTA (>3 days) - Required Evacuation - Dropped Object/LiftboatStandby,DISTRICT,Complete
8/30/2012,:0,G03419,MP 116,- Toppled Well,DISTRICT,Complete
4/23/2006,8:30,G02193,MP 140,- Crane,DISTRICT,Complete
1/16/2010,13:00,G02193,MP 140,- Required Evacuation - Fire ,DISTRICT,Complete
6/9/2021,14:45,G02193,MP 140,- Pollution - Pipeline Leak,DISTRICT,Complete
12/25/2020,18:00,G01967,MP 153,- Compressor Backfired,DISTRICT,Complete
5/3/2025,8:30,G01967,MP 153,- Crane ,DISTRICT,Complete
4/22/2008,14:30,G08753,MP 175,- Fire - Glycol Reboiler,DISTRICT,Complete
10/6/2002,22:30,G07824,MP 252,- Pollution ,DISTRICT,Complete
8/24/2025,15:30,G07824,MP 252,- Incident >$25K - Crane ,DISTRICT,Complete
5/5/2002,8:30,G07825,MP 255,- Fatality - crane,PANEL,Complete
3/23/2020,11:30,G07827,MP 259,- RW/JT (>3 days) - Required Evacuation - Cut wrist with knife,DISTRICT,Complete
6/24/2022,11:47,,MP 260,- Required Evacuation - Explosion ,DISTRICT,Complete
2/4/2007,12:25,G13035,MP 261,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
12/20/2003,16:45,G23992,MP 263,- Collision - Pollution - gas release,DISTRICT,Complete
4/7/2013,17:45,G14585,MP 264,- Crane ,DISTRICT,Complete
4/27/2013,10:30,G14585,MP 264,- Crane ,DISTRICT,Complete
8/5/2002,18:00,G19863,MP 265,- crane accident,DISTRICT,Complete
6/30/2022,23:46,,MP 268,- Pollution ,DISTRICT,Complete
7/3/2023,15:45,G22812,MP 270,- RW/JT (1-3 days) - Required Evacuation - First Aid,DISTRICT,Complete
11/24/2005,6:15,G16515,MP 280,- Pollution ,DISTRICT,Complete
5/8/2021,11:00,G13662,MP 283,- LTA (>3 days) - Required Evacuation - Other Lifting Device ,DISTRICT,Complete
1/13/2004,14:00,G01665,MP 288,- Pollution ,DISTRICT,Complete
6/23/2007,8:32,G01665,MP 288,- Pollution ,PANEL,Complete
2/2/2015,2:30,G01665,MP 288,- Fire ,DISTRICT,Complete
10/15/2019,7:55,G01665,MP 288,- Incident >$25K - Crane ,DISTRICT,Complete
2/5/2013,9:00,G32263,MP 295,- Blowout,DISTRICT,Complete
9/28/2013,8:30,G32263,MP 295,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
8/15/2006,12:40,G01673,MP 296,- LTA (>3 days) - Crane ,DISTRICT,Complete
1/21/2019,6:45,G01673,MP 296,- Other Injury - Required Evacuation ,DISTRICT,Complete
5/24/2026,11:38,G01315,MP 298,- Fire ,DISTRICT,Complete
11/7/2001,13:10,G12362,MP 299,- Pollution ,DISTRICT,Complete
8/30/2002,6:30,G12362,MP 299,- Pollution ,DISTRICT,Complete
4/22/2003,10:30,G12362,MP 299,- Fire ,DISTRICT,Complete
5/30/2003,:0,G12362,MP 299,- Fire ,DISTRICT,Complete
12/29/2003,11:30,G12362,MP 299,- H2S Release,DISTRICT,Complete
12/31/2003,9:35,G12362,MP 299,- Explosion ,DISTRICT,Complete
1/14/2006,3:00,G01316,MP 299,- Explosion - Fire ,DISTRICT,Complete
2/1/2006,8:00,G12362,MP 299,- Pollution ,DISTRICT,Complete
2/14/2006,18:00,G12362,MP 299,- H2S,DISTRICT,Complete
7/18/2006,8:15,G12362,MP 299,- Pollution ,DISTRICT,Complete
9/5/2006,9:00,G12362,MP 299,- Pollution ,DISTRICT,Complete
9/21/2006,6:30,G12362,MP 299,- LTA (1-3) days ,DISTRICT,Complete
9/11/2012,16:35,G01316,MP 299,- RW/JT (>3 days) - Required Evacuation - Injury to hand/thumb,DISTRICT,Complete
9/13/2012,4:30,G01316,MP 299,- RW/JT (>3 days) - Required Evacuation - Foot Injury,DISTRICT,Complete
5/29/2016,13:10,G12362,MP 299,- Required Muster ,DISTRICT,Complete
9/22/2019,6:55,G12362,MP 299,- Explosion - primer ignition,DISTRICT,Complete
11/26/2025,12:39,G01317,MP 300,- Fire ,DISTRICT,Complete
8/10/2006,7:15,G01677,MP 306,- Pollution - Pollution,DISTRICT,Complete
12/20/2004,8:15,G04126,MP 310,- Injury ,DISTRICT,Complete
5/26/2008,10:45,G04126,MP 310,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
7/8/2003,13:00,G02213,MP 311,- Injury - crane accident,DISTRICT,Complete
3/12/2023,16:30,G02213,MP 311,- LTA (>3 days) - Required Evacuation - Pressure Release,DISTRICT,Complete
1/16/2003,8:30,G03340,BS 53,- Explosion - Fire - Injury - Fatality - helicopter crash,DISTRICT,Complete
10/6/2019,17:00,G01372,BS 54,- Collision >$25K - Incident >$25K ,DISTRICT,Complete
10/13/2020,7:30,G01372,BS 55,- Incident >$25K - Structural Damage - Allision,DISTRICT,Complete
9/2/2003,10:30,G24001,CA 27,- Blowout ,DISTRICT,Complete
9/11/2003,16:00,G24001,CA 27,- Injury - rig collapse,DISTRICT,Complete
7/18/2006,1:00,G27214,CA 31,- Fatality ,PANEL,Complete
5/6/2003,11:10,G22539,WC 289,- Fire - Injury - Flash Fire,DISTRICT,Complete
11/12/2006,7:00,G04090,WC 294,- Explosion - Incident >$25K ,DISTRICT,Complete
5/21/2001,13:05,G10572,WC 306,- Injury ,DISTRICT,Complete
4/7/2004,3:05,G24745,WC 424,- Fatality ,PANEL,Complete
8/9/2003,12:00,G21059,WC 613,- Fire ,DISTRICT,Complete
2/17/2004,3:30,G02853,EC 23,- Blowout ,PANEL,Complete
7/30/2011,15:00,G27036,EC 34,- Pollution - Failure of ball valve,DISTRICT,Complete
10/15/2012,14:30,G25933,EC 37,- RW/JT (>3 days) - Required Evacuation - Knee Injury,DISTRICT,Complete
7/20/2012,22:45,G02857,EC 42,- Incident >$25K - Structural Damage ,DISTRICT,Complete
1/25/2009,11:25, 00767,EC 47,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
7/28/2012,6:00, 00089,EC 64,- Fire - Incident >$25K ,DISTRICT,Complete
5/25/2023,1:15,G13576,EC 71,- Pollution ,DISTRICT,Complete
12/31/2002,11:20,G08640,EC 82,- Fatality ,DISTRICT,Complete
10/23/2003,15:00,G08641,EC 83,- Injury ,DISTRICT,Complete
10/2/2010,7:00,G08641,EC 83,- Required Evacuation - Fire - Gas venting from Gas Buster,DISTRICT,Complete
8/30/2007,14:00,G21065,EC 109,- Pollution - Pollution. 2.7 bbls,DISTRICT,Complete
3/5/2012,14:15,G14364,EC 129,- LTA (>3 days) - Required Evacuation - Falling Object,DISTRICT,Complete
7/30/2014,16:20,G17858,EC 172,- Other Injury - Required Evacuation - Other Lifting Device ,DISTRICT,Complete
12/19/2009,14:00,G22587,EC 194,- Incident >$25K - Crane ,DISTRICT,Complete
1/6/2008,7:45,G03323,EC 220,- Other Injury - Crane ,DISTRICT,Complete
7/21/2005,16:00,G02037,EC 222,- Injury ,DISTRICT,Complete
7/2/2004,12:30,G00972,EC 265,- Injury ,DISTRICT,Complete
1/28/2010,5:45,G25966,EC 266,- RW/JT (>3 days) - LTA (1-3) days - Required Evacuation ,DISTRICT,Complete
6/18/2001,16:45,G02047,EC 272,- Explosion - Fire - Injury ,DISTRICT,Complete
6/18/2005,23:15,G02047,EC 272,- Explosion - Fire ,DISTRICT,Complete
1/17/2008,8:45,G02051,EC 286,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
2/6/2010,6:30,G02061,EC 321,- Shutdown from Gas Release - Required Muster ,DISTRICT,Complete
6/17/2014,22:30,,EC 321,- Required Evacuation ,DISTRICT,Complete
10/25/2014,19:00,G02061,EC 321,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
6/23/2014,10:30,G10638,EC 328,- Required Evacuation - Pollution ,DISTRICT,Complete
7/29/2010,9:45,G02062,EC 334,- Pollution - Spill from cut process piping,DISTRICT,Complete
12/7/2025,23:30,G02063,EC 338,- Incident >$25K - Required Muster ,DISTRICT,Complete
3/20/2008,11:00,G06655,EC 346,- LTA (>3 days) - Open Hole,DISTRICT,Complete
3/10/2010,1:40,G06655,EC 346,- Explosion - Fire - Incident >$25K - Required Muster ,DISTRICT,Complete
2/21/2015,4:00,G06655,EC 346,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
10/12/2009,6:30,G14391,EC 373,- Fire - Fire in AC Evap. Enclosure,DISTRICT,Complete
8/10/2012,10:00,G15161,EC 381,- LTA (>3 days) - Required Evacuation - Crane - Arm Injury due to Fall,DISTRICT,Complete
10/14/2009,9:45, 00205,VR 38,- LTA (>3 days) - Required Evacuation - Fire ,DISTRICT,Complete
7/12/2025,15:30, 00204,VR 38,- LTA (>3 days) - Required Evacuation - Incident >$25K - Crane ,DISTRICT,Complete
5/31/2013,12:30,G22606,VR 52,- Fire - Incident >$25K ,DISTRICT,Complete
10/17/2002,1:05, 00487,VR 119,- Fire ,DISTRICT,Complete
5/27/2009,12:00,G22620,VR 122,- Underwater gas release,DISTRICT,Complete
9/29/2012,4:55, 00495,VR 124,- LTA (>3 days) - Required Evacuation - Finger Injury,DISTRICT,Complete
9/17/2012,13:30, 00775,VR 131,- Incident >$25K - Crane ,DISTRICT,Complete
4/9/2004,23:30,G06668,VR 164,- Injury ,DISTRICT,Complete
8/28/2007,14:30,G27858,VR 167,- Pollution ,DISTRICT,Complete
9/7/2007,6:15,G27858,VR 167,- Shutdown from Gas Release - Evacuated 78 people from rig,DISTRICT,Complete
10/31/2007,22:45,G27858,VR 167,- LTA (>3 days) - Required Evacuation - FALLING OBJECT,DISTRICT,Complete
8/11/2024,19:10,,VR 170,- LTA (>3 days) - Required Evacuation - Explosion - Fire - Incident >$25K - Required Muster ,DISTRICT,Complete
7/3/2023,15:00,,VR 170,- LTA (1-3) days - Required Evacuation ,DISTRICT,Complete
10/27/2013,19:30,G09500,VR 200,- Fatality ,PANEL,Complete
5/12/2013,13:45,G02076,VR 214,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
2/17/2006,10:00,G01142,VR 218,- Crane boom failure,DISTRICT,Complete
3/6/2006,11:30,G01142,VR 218,- Explosion - Fire - Injury ,DISTRICT,Complete
10/23/2013,19:00,G01144,VR 226,- Crane ,DISTRICT,Complete
10/31/2008,14:30,G01146,VR 245,- Wellhead Leak,DISTRICT,Complete
6/12/2012,4:20,G01181,SM 10,- RW/JT (>3 days) - Required Evacuation - Stepping into Open Hole,DISTRICT,Complete
1/8/2006,10:30,G01182,SM 11,- Injury ,DISTRICT,Complete
6/15/2009,9:00,G08680,SM 18,- RW/JT (>3 days) - Required Evacuation - Explosion - Fire ,DISTRICT,Complete
8/5/2012,7:30, 00778,SM 23,- Required Evacuation - Incident >$25K - Crane - Boom Winch,DISTRICT,Complete
12/5/2014,7:30,G01187,SM 27,- Pollution ,DISTRICT,Complete
3/18/2003,2:00,G07699,SM 36,- Collision ,DISTRICT,Complete
12/13/2006,17:50, 00787,SM 49,- Fire ,DISTRICT,Complete
6/20/2012,12:55,G27083,SM 50,- LTA (>3 days) - Required Evacuation - Open hole,DISTRICT,Complete
11/21/2003,7:00,G01193,SM 57,- Fire ,DISTRICT,Complete
9/11/2019,13:30,G01194,SM 58,- Other Lifting Device ,DISTRICT,Complete
10/7/2019,15:30,G01194,SM 58,- RW/JT (1-3 days) - Required Evacuation ,DISTRICT,Complete
4/12/2013,13:25,G01198,SM 66,- RW/JT (>3 days) - Required Evacuation - RW/JT Arm Injury,DISTRICT,Complete
10/31/2004,1:55,G01201,SM 69,- Fire - Pollution ,DISTRICT,Complete
11/1/2012,21:35,G01201,SM 69,- LTA (>3 days) - Required Evacuation - Back Reaming Injury,DISTRICT,Complete
9/9/2019,23:00,G05431,VR 252,Damaged/Disabled Safety Sys. - Fire - Incident >$25K ,DISTRICT,Complete
4/25/2018,17:00,G05431,VR 252,- Crane ,DISTRICT,Complete
4/11/2006,14:00,G01153,VR 256,- Fire - Injury ,DISTRICT,Complete
12/16/2015,18:45,,VR 261,- Incident >$25K - Crane ,DISTRICT,Complete
8/15/2008,12:00,G03135,VR 267,- LTA (>3 days) - Required Evacuation - lubricator blew off well.,DISTRICT,Complete
8/26/2009,13:11,G03135,VR 267,- Pollution ,DISTRICT,Complete
6/13/2014,18:30,G11881,VR 279,- LTA (>3 days) - Required Evacuation - Fire ,DISTRICT,Complete
6/19/2015,6:05,G11881,VR 279,- Pollution ,DISTRICT,Complete
11/20/2002,12:55,G15201,VR 281,- Explosion - Fire - Injury ,DISTRICT,Complete
2/2/2008,15:45,G03137,VR 287,- Pollution ,DISTRICT,Complete
4/13/2008,7:30,G04427,VR 318,- Fatality ,DISTRICT,Complete
8/7/2021,15:00,G02572,VR 331,- Man Overboard,DISTRICT,Complete
7/21/2012,10:48,G02091,VR 340,- Incident >$25K - Crane ,DISTRICT,Complete
12/16/2012,18:00,G33608,VR 342,- LTA (1-3) days - Required Evacuation - Head Injury,DISTRICT,Complete
11/13/2014,19:30,G33608,VR 342,- Pollution - Chemical Release,DISTRICT,Complete
4/10/2013,4:15,G17921,VR 356,- Other,DISTRICT,Complete
1/30/2014,9:48,G17921,VR 356,- Well control,PANEL,Complete
7/31/2011,7:49,G02274,VR 369,- Crane ,DISTRICT,Complete
4/18/2014,19:00,G02274,VR 369,- Fire ,DISTRICT,Complete
7/1/2019,14:00,G02274,VR 369,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
6/24/2022,13:00,G02274,VR 369,- Crane ,DISTRICT,Complete
4/4/2024,22:30,G02274,VR 369,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
2/10/2020,17:45,G09524,VR 371,- Crane ,DISTRICT,Complete
3/21/2009,11:10,G14428,VR 376,- Pollution ,DISTRICT,Complete
2/29/2012,3:45,G14428,VR 376,- LTA (>3 days) - Required Evacuation - Crane ,DISTRICT,Complete
6/8/2014,10:30,G13606,VR 379,- Required Evacuation - Crane ,DISTRICT,Complete
12/16/2002,14:00,G02580,VR 380,- Fire - Injury ,DISTRICT,Complete
5/26/2008,18:15,G02580,VR 380,- LTA (>3 days) - Required Evacuation - Other Lifting Device ,DISTRICT,Complete
9/2/2010,8:45,G02580,VR 380,- Fire - Incident >$25K - Required Muster - Platform abandoned,PANEL,Complete
5/21/2010,16:00,G09529,VR 398,- Explosion - Pollution - Incident >$25K ,DISTRICT,Complete
8/1/2012,:20,G09529,VR 398,- Structural Damage - Required Muster ,DISTRICT,Complete
8/8/2007,21:18,G15212,VR 408,- RW/JT (>3 days) - Required Evacuation - Fire - Pollution ,DISTRICT,Complete
10/13/2001,3:20,G21618,SM 93,- Injury - Fatality ,PANEL,Complete
11/14/2017,12:15,G21618,SM 93,- LTA (1-3) days - Required Evacuation ,DISTRICT,Complete
5/26/2005,10:45,G04109,SM 99,- Fire - Pollution ,DISTRICT,Complete
10/6/2018,9:30,G04109,SM 99,- RW/JT (1-3 days) - Required Evacuation - Crane ,DISTRICT,Complete
7/7/2018,11:15,G17938,SM 105,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
5/29/2006,15:30,G03776,SM 106,- Injury - Fall,DISTRICT,Complete
6/23/2007,7:30,G02279,SM 106,- RW/JT (1-3 days) - Explosion - Fire - Pollution ,DISTRICT,Complete
8/22/2012,8:30,G02279,SM 106,- RW/JT (1-3 days) - Required Evacuation - Required evacuation-LTA>3days,DISTRICT,Complete
10/24/2012,8:30,G03776,SM 106,- LTA (>3 days) - Required Evacuation - Shoulder Injury,DISTRICT,Complete
3/8/2008,8:15,G02130,SM 107,- Crane ,DISTRICT,Complete
10/18/2010,16:00,G02587,SM 128,- RW/JT (>3 days) - Required Evacuation - Lack of Fall Protection,DISTRICT,Complete
2/25/2014,15:00,G02587,SM 128,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
1/16/2024,2:52,G02587,SM 128,Damaged/Disabled Safety Sys. - Fire - Incident >$25K ,DISTRICT,Complete
2/28/2002,:50,G02280,SM 130,- Pollution ,DISTRICT,Complete
10/15/2002,17:30,G02280,SM 130,- Pollution ,DISTRICT,Complete
12/6/2003,21:00,G02280,SM 130,- Fatality ,PANEL,Complete
2/22/2004,3:00,G02280,SM 130,- Pollution ,DISTRICT,Complete
10/23/2008,17:30,G02280,SM 130,- Required Evacuation - Injury to person,DISTRICT,Complete
10/17/2011,3:30,G02280,SM 130,- LTA (>3 days) - Required Evacuation - Water blast puncture to foot,DISTRICT,Complete
9/11/2017,11:38,G02280,SM 130,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
5/20/2019,14:00,G02280,SM 130,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
5/12/2023,16:05,G02280,SM 130,- Incident >$25K - Crane ,DISTRICT,Complete
12/15/2023,5:20,G02280,SM 130,- Shutdown from Gas Release Damaged/Disabled Safety Sys. - Fire - Incident >$25K - Structural Damage - Required Muster ,DISTRICT,Complete
11/14/2022,8:40,G02280,SM 130,- RW/JT (>3 days) - Required Evacuation ,DISTRICT,Complete
2/4/2023,14:05,G02280,SM 130,- Fire ,DISTRICT,Complete
2/25/2024,9:30,G02280,SM 130,- Incident >$25K - Crane ,DISTRICT,Complete
7/7/2012,14:15,G02282,SM 132,- Required Evacuation - Puncture Wound,DISTRICT,Complete
6/22/2014,8:45,G02282,SM 132,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
6/22/2009,10:00,G02588,SM 136,- LTA (>3 days) - Required Evacuation ,DISTRICT,Complete
