Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
EI-338-20170531-1410,1,The rigger inadvertently placed himself in a hazardous location allowing the tool house and a handrail to be a possible pinch point hazard.,,,,
EI-338-20170531-1410,2,"As per Wood Group’s GOM-SWP-Cranes and Lifting Equipment Standard 4.10 Signals states signals to operators shall include use of the hand, voice and/or audible method. Means of transmitting the signals (direct line of sight, radio, etc.) must be suitable and appropriate for the site conditions. Signals between the Crane Operator and designated signal person shall be discernible, audibly or visually at all times. The Crane Operator shall not respond unless signals are clearly understood. A signal person must be provided for the following situations:",,,,
EI-338-20170531-1410,3,The point of operation is not in full view of the operator,,,,
EI-338-20170531-1410,4,The view is obstructed when the equipment is traveling,,,,
EI-338-20170531-1410,5,The operator or the person handling the load determines it is necessary due to site specific concerns,,,,
EI-338-20170531-1410,6,As per Island Operating’s Safe Practices Manual,,,,
EI-338-20170531-1410,7,"45 Crane movement shall always be governed by a standard set of signals, transmitted to the operator by a signalman.",,,,
EI-338-20170531-1410,8,"47 Signalers should be provided with a clearly identifiable marking, such as a conspicuous arm band, hat, glove or other badge of authority.",,,,
EI-338-20170531-1410,9,"48 Where visual or audible signals are inadequate, telephone or portable radio communication should be used.",,,,
EI-338-20170531-1410,10,"As per Island Operating’s Job Safety Analysis dated May 31, 2017, Section 5-Always watch out for your co-worker to insure that they are in a safe place and out of the line of fire before making lift from the platform.",,,,
AC-337-20241012-0540,1,"Policy Violation: During the operation, the IP repositioned himself from the safe observation area and onto the upper fingerboards to help mitigate the failure of the fingerboard latch. In doing so, the IP did not have the proper working-at-heights permit which would have informed all other rig workers to his location and would have shut down operations of the PRS while he was on the fingerboards, as per Noble’s stated safe-work practices.",,,,
AC-337-20241012-0540,2,Situational Awareness: There was a lack of situational awareness by multiple parties.,,,,
AC-337-20241012-0540,3,"As he was working on the malfunctioning latch, the IP lost focus on the PRS movements and was taken by surprise as the arm extended towards him. 2) Although the CCTV footage of the upper fingerboards was visible on the display monitor during the entire operation, all five crew member in the drill shack either failed to recognize the existing hazard, failed to recognize that having a worker on the fingerboards during operations was a hazard, or failed to stop work after recognizing that the hazard. 3) For the 10 minutes prior to the accident, the rig floor crew members either failed to look up and recognize the hazard, failed to recognize that having a worker on the fingerboards was a hazard, or failed to stop work after recognizing the hazard.",,,,
BM-3-20250805-0740,1,"Equipment Failure - Inadequate preventative maintenance/Inadequate equipment repair- the crane’s aux hoist system was operated with documented mechanical deficiencies including excessive wear and degradation of the aux boom tip sheave and bearing assembly. These conditions were identified during prior inspections and confirmed during post-incident evaluations. Though this theory was not proven with certainty, the degraded condition of these components may have contributed to abnormal hoisting system behavior and is considered a primary factor in the incident.",,,,
BM-3-20250805-0740,2,Equipment Failure - Flawed equipment design or construction: The ATB’s design allows for wire rope to snag and foul on the striker plate.,,,,
BM-3-20250805-0740,3,Communication - Inadequate Coordination Between Operator & Maintenance Contractor: The investigation identified inconsistencies in communication and documentation between Cantium and third-party maintenance providers regarding the status of repairs to the aux sheave assembly. The absence of documented repair tracking or confirmation may have contributed to the unresolved condition and future incidents if not corrected.,,,,
BM-3-20250805-0740,4,"Supervision - No or inadequate supervision: Inspection findings identified multiple areas of degradation within the crane system, including the aux sheave, bearings, and other components. The continued operation of the crane under these conditions indicates insufficient oversight and prioritization of maintenance activities. The Cantium HESC signing the Deficiency Summary on April 15, 2025, indicates he was made aware that crane components were out of compliance with both manufacturer recommendations but also in contradiction with Cantium’s Crane Policy and prescribed service limitations of vital crane components.",,,,
BM-3-20250805-0740,5,Management Systems - Inadequate emergency procedures: Review of the timeline of events regarding the evacuation of the IP reveals miscommunication and a lack of emergency response preparedness. There were several examples exhibited within the timeline of the evacuation that strongly suggest the IP’s evacuation was delayed due to failure to plan for these events prior to the incident. BSEE recommends Cantium review their emergency plans and procedures to ensure a more efficient response in the event of future evacuations.,,,,
EI-259-20231013-1745,1,"Human Performance Error: Even though the Job Safety Analysis discusses the use of a safety harness, the CM failed to wear the safety harness when reaching over the handrail or climbing on the gantry to remove the brace.",,,,
EI-259-20231013-1745,2,"No Supervision: During the duration when the CM and the helper were replacing the winch, platform operators did not monitor or visit the site where the incident occurred.",,,,
EI-259-20231013-1745,3,"Management Systems: Inadequate hazard analysis - Also, the CM failed to conduct a stop work authority and readdress the Job Safety Analysis when the decision was made to remove the brace.",,,,
EI-259-20231013-1745,4,Work Environment: The guard rail onto the gantry was 38 inches high.,,,,
GB-959-20251014-0510,1,Management System: Inadequate hazard analysis. Control measures for this operation involving the aerial man-riding work basket were ineffective or not implemented. The crew failed to lift recognize the hazards associated with using the aerial lift man-riding work basket as a lifting operation by pulling downward with rope. There was no lift plan in place for this operation.,,,,
GB-959-20251014-0510,2,"Supervision: Inadequate Supervision. There was inadequate supervision during this operation which resulted in an incident since it was allowed to use the aerial lift man-riding work basket outside of its design for man-riding basket and for pulling a load, simultaneously.",,,,
GB-959-20251014-0510,3,Human Performance Error: Not aware of hazards. The AD confirmed that he was aware of designed anchor points but had no memory of the event. The AD tied off to an open-ended handrail instead of the designated anchor point inside the man-riding work basket.,,,,
GB-959-20251014-0510,4,"Supervision: Inadequate Supervision. The MPD Toolpusher had three TBT meeting forms, but the Floorman signed the incorrect TBT form, and the IP did not sign any TBT forms.",,,,
GB-959-20251014-0510,5,"Management System: Inadequate management of change procedures. There was no Management of Change (MOC) performed when the radio remote controls failed to operate, resulting in the operator control station becoming the primary means of control, thus exposing the bypass functions to misuse. Additionally, there was no physical method of control to prevent unauthorized use of bypasses or overrides. The OEM manual and control panel signage state the deck control panel or operator station are for emergency use only.",,,,
MC-391-20240305-0415,1,"The extreme unexpected changes in wind speed and direction due to strong thunderstorms caused an excursion of the vessel's planned position. Due to these rapid changes, the vessel was unable to maintain position while being latched up to the well. This event subsequently resulted in an EDS from the well.",,,,
MC-391-20240305-0415,2,-The weather forecasts did not predict the adverse weather conditions that were witnessed on location. -The vessel’s radar did not show the actual weather conditions that were witnessed on location.,,,,
MC-520-20230607-1100,1,"Human Error: The Driller and Assistant Driller did not follow the guidelines and procedures and did not fill out the Elevator Pre-use checklist. Due to the Driller and Assistant Driller not following the guidelines, procedures and not filling out the checklist, the incorrect inserts were used in the elevators which resulted in dropping the 43- foot cleanout assembly 40 feet onto the pipe skate.",,,,
MC-520-20230607-1100,2,Human Error: The inserts that were installed were designed for use with 4.5 inch External Upset (EU) pipe. The pipe that was being lifted was 4.5 inch Internal-External Upset (IEU) which requires the smaller diameter inserts. The IEU pipe upset is approximately 1/4 inch smaller in diameter than the EU pipe upset.,,,,
MC-520-20230607-1100,3,Human Error: The Assistant Driller was not aware of his responsibility to ensure that the Elevator Pre-use Checklist was completed.,,,,
MC-520-20230607-1100,4,Supervision: The Driller did not verify that the Elevator Pre-use Checklist was carried out to his satisfaction.,,,,
MC-759-20260220-1246,1,"Loss of winch gear mesh function. - The electric umbilical winch lost gear mesh function during recovery of ROV ML242, resulting in uncontrolled payout of the umbilical cable.",,,,
MC-759-20260220-1246,2,"Inadequate lubrication practices - Although scheduled maintenance records indicated gear greasing had been completed, OEM analysis identified inadequate lubrication conditions as the mechanism that led to progressive gear tooth damage and loss of gear mesh function.",,,,
MC-759-20260220-1246,3,Lack of independent emergency stopping capability – The winch’s emergency stopping function relied on the same gear arrangement associated with the failure and did not provide an independent means to stop the drum after gear mesh function was lost.,,,,
MO-916-20231122-1130,1,"Communication – Inadequate communication between personnel: While lowering the section of piping, crewmembers involved did not communicate properly resulting in an individual being injured.",,,,
MO-916-20231122-1130,2,"Supervision – No or inadequate supervision: Lack of supervision was found to be a contributing factor to the incident. This resulted in the piping shifting as it was being lowered, causing the IP’s finger to become pinched between the piping and an adjacent beam.",,,,
MU-20260517-1515,1,The slot “C” 30-inch conductor had poor structural integrity due to corrosion at the top of the casing where the 30-inch stationary slips were set. The slot “C” conductor’s top section could not sustain the slip forces which allowed the slot “C” conductor to slip through the 30-inch stationary slips and fall back to the initial lift elevation.,,,,
MU-20260517-1515,2,"Sea conditions impacted conductor movement, but sea conditions remained within the operational requirements set by the Operator.",,,,
SP-49-20250730-1310,1,"Uncontrolled release of mechanical energy: The ability for the bowls to slip past the centralizer with the “grease lock” keeping them together was not recognized or mitigated prior to movement, resulting in unexpected separation.",,,,
SP-49-20250730-1310,2,Improper hand placement: The Supreme operator positioned their hands in a pinch point during lifting operations.,,,,
SP-49-20250730-1310,3,"Inadequate securing of heavy components: The outermost bowl was not mechanically restrained prior to changing the cutter’s orientation (moving it from the vertical position to the horizontal position in the basket), allowing it to slide under gravity when separation occurred. While there is no specific procedural requirement to mechanically restrain the bowls, this incident demonstrated the need to implement such restraints, and the crew subsequently procured slings for use in future operations.",,,,
SP-49-20250730-1310,4,Insufficient hazard recognition during rig down: The potential for stored mechanical energy and the ability for the bowls to separate was not identified during pre-task hazard analysis or communicated in the Job Safety Analysis (JSA).,,,,
SP-49-20250730-1310,5,"Lack of engineered or procedural controls: No barriers, restraining devices or mechanical handling aids were utilized to protect personnel during transfer of the cutter.",,,,
SP-49-20250730-1310,6,Crew familiarity and procedural drift: Routine handling of similar assemblies and lack of training may have contributed to complacency and deviation from the service company’s “no hands” policy.,,,,
SP-49-20250730-1310,7,"No stop work intervention: The hazardous hand positioning was not corrected prior to movement, indicating an opportunity for improved hazard oversight.",,,,
VK-817-20250816-0530,1,Human Performance Error: International Navigational Rule #5 and #8. The captain failed to safely operate the M/V Dry Tortugus. He admitted to falling asleep at the controls while the vessel was on autopilot.,,,,
VK-817-20250816-0530,2,Human Performance Error: Work-hour limitations exceeded. The captain’s excessive workload on the day prior to the incident may have contributed to his inability to stay awake and alert while at the helm.,,,,
VK-817-20250816-0530,3,"Equipment failure: At the time of the incident there was no Bridge Navigational Watch Alarm System installed on the M/V. There were no safety devices, monitors or alarms in use, either on the platform or the M/V, to detect the collision course of the vessel with the platform.",,,,
VK-817-20250816-0530,4,"Supervision- Inadequate Training in Fatigue Management. The crew, including the Master, did not receive training on recognizing and managing fatigue as part of their safety protocols. The crew lacked the knowledge and tools necessary to identify and mitigate fatigue-related risks during operations.",,,,
VK-817-20250816-0530,5,Supervision- Failure of Management to Implement fatigue Monitoring Systems.,,,,
VK-989-20241202-0830,1,Equipment failure: Inadequate equipment repair- Possibility of an old field repair to the flowline being subjected to corrosion due to the repair being made in the field instead of in a controlled environment which may have caused the flowline to develop a leak.,,,,
VK-989-20241202-0830,2,Equipment failure: Flawed equipment design or construction- Suspected flaw in the field weld and testing of the weld during suspected past field flowline repair.,,,,
VK-989-20241202-0830,3,Work environment: Poor layout or design of work area- Suspected repair being performed in an uncontrolled environment allowing for environmental condition to affect the repair that may have been performed.,,,,
VK-989-20260108-0845,1,Human Performance Error: Not following proper procedures- Danos crew members did not follow their company Work Safe Oath Element-Energy isolation which calls to verify energy isolation before work begins.,,,,
VK-989-20260108-0845,2,Human Performance Error: Inexperience doing task related to incident- Danos stated in their investigation report that the “Crew was not familiar with cable demo procedure due to this type of task not usually in their scope of work.”,,,,
VK-989-20260108-0845,3,Communication: Inadequate communication between the operator and contract personnel- The Talos electrician pointed out the wrong cable to be cut. Danos personnel never verified the energy isolation and never verified that the cable pointed out during the pre-job walkthrough was the correct cable to cut.,,,,
VK-989-20260108-0845,4,Management Systems: No written job procedures- Danos management failed to provide the crew on location with the Cable Removal-Demolition Procedure prior to performing the work.,,,,
VK-989-20260108-0845,5,"Communication: Inadequate job instructions provided- Danos failed to provide the crew with the proper training to perform the task. Due to the crew not being familiar with the task, training should have been provided prior to the crew performing the task.",,,,
WR-425-20260411-0345,1,Managment systems - inadequate hazard analysis Communication - inadequate job instructions provided,,,,
WR-425-20260411-0345,2,Human Performance Error - inattention to task. Not aware of hazards.,,,,
MC-778-20220606-1030,1,Equipment Failure: Rod piston seal failure.,,,,
ST-26-20210314-1050,1,Poor communication between the dock crane operator and the dispatcher caused the basket weight to be mislabeled.,,,,
ST-26-20210314-1050,2,None,,,,
UNKEYED-e77e68db3fe0,1,"Both of the 1"" support cables for the HTV parted at the wedge socket.",,,,
UNKEYED-e77e68db3fe0,2,No contributing factors could be listed at the time of the investigation.,,,,
EB-160-20151201-2200,1,"The work string, consisting of a 9 5/8 inch rock bit, a 9 5/8 inch casing scrapper, and 1,620 feet of 3 1/2 inch drill pipe weighing approximately 22,500 pounds was lodged in the 9 5/8 inch internal diameter well casing. The Crane Operator had pulled up to 30,000 pounds (25 percent over the estimated weight of work string) when the decision was made to utilize the hydraulic jack system.",,,,
EB-160-20151201-2200,2,"The amount of upward force (275,000 pounds) applied by the hydraulic jack system suddenly freed the lodged work string causing the string to rebound out of the hole approximately 6 feet. The rebound threw the traveling slips out of their position, eliminating support of the work string’s weight. When the work string fell back down into the hole, the force of the work string transferred to the still attached crane hoist system causing the crane to be shock loaded.",,,,
EB-160-20151201-2200,3,"Due to the P&A crew leaving the crane attached to the work string,conditions which caused the crane to be shock loaded were created. The shock load caused the crane’s boom to collapse on top of the hydraulic jack system work basket, then folding the boom in half sending the jib end toward the Crane Operator’s cab. This directly led to the failure and collapse of the crane boom and other components.",,,,
EB-160-20151201-2200,4,Lessee failed to ensure control of the work string would be maintained if the stored energy was released while utilizing the hydraulic jack system.,,,,
EB-160-20151201-2200,5,Poor planning and risk evaluation by the operator.,,,,
EB-160-20160205-0640,1,Crane Operator failed to ensure the auxiliary line was played out so the wedge socket and ball would not come in contact with the boom tip while lowering the crane boom.,,,,
EB-160-20160205-0640,2,None,,,,
EB-160-20191209-0700,1,The Root Cause: Lessee failed to ensure personnel were properly inspecting the slips and bowls and operating all equipment as per Manufacturer's Operations/Maintenance Instruction Manual prior to use.,,,,
EB-160-20191209-0700,2,Personnel failed to ensure slips completely seated into the bowls.,,,,
EB-160-20191209-0700,3,Personnel failed to ensure the slips and bowls were properly lubricated prior to use.,,,,
EB-160-20191209-0700,4,Job Safety Analysis (JSA) did not contain steps to ensure slips and bowls were properly cleaned and greased prior to use.,,,,
EB-602-20220910-1630,1,Human Performance Error: IP failed to control the movement of the TG door while manually pushing on the TG frame as stated in the JSA.,,,,
EB-602-20220910-1630,2,"Inadequate written job procedures – JSA was titled install and removal of the TG, but JSA only discussed installation. Removal was said to be the reverse of the installation.",,,,
EI-100-20140913-0900,1,It is believed the nozzle was activated due to the nozzle coming in contact with the piping.,,,,
EI-238-20200119-1400,1,Inattention to task-The mechanic missed the step causing him to fall forward.,,,,
EI-238-20200119-1400,2,"When the mechanic missed the step, the weight of the tool bag on his back added to the severity of his injuries.",,,,
EI-252-20200116-0530,1,"The crane operator did not follow the Job Safety Analysis procedures while lifting the personnel basket. According to the Job Safety Analysis, the crane operator was to follow hand signals from the deckhand. The deckhand, who was injured as a result of this incident, was listed as the designated signal person. The crane operator stated he could not see the deckhand or the personnel basket at the time of the lift. There was no listing on the Job Safety Analysis for verbal communication",,,,
EI-252-20200116-0530,2,"The BSEE investigation concludes the possible contributing causes of the accident were the following: . The crane operator failed to follow Arena’s Safe Practices Manual* concerning crane operations. According to the lift planning section, the crane operator should have revised the original lift plan.",,,,
EI-252-20200116-0530,3,"The BSEE investigation concludes the possible contributing causes of the accident were the following: . Incorrect communication received by crane operator. According to the boat personnel, there was no verbal communication given by anyone on the boat to lift the personnel basket. The crane operator stated he received the signal by radio to “come up” with the personnel basket but could not determine who gave the command. At the time of the incident, the radios were set on an open marine channel allowing the crane operator to receive communication from other facilities.",,,,
EI-252-20200116-0530,4,"The BSEE investigation concludes the possible contributing causes of the accident were the following: As per Arena’s Safe Practices Manual: “Section 28.28 (A) (1) Signals between the Crane Operator and the designated signal person should be discernible, audibly or visually, at all times. The Crane Operator should not respond unless signals are clearly understood. Section 28.28 (c) (2) When operations are required to be controlled by signals, a designated signal person should be assigned to work with the crane. The designated person should: Be in clear view of the Crane Operator to ensure that their signals may be seen. Their position should give them clear view of the load, crane, personnel, and area operation. If the Crane Operator’s view of the primary signal person is obstructed, a secondary signal person should be provided. Section 28.31 (B.)(1) A lift plan should be created before each crane operation and adhered to during the entire operation. If the lift plan cannot be followed, it must be revised. “",,,,
EW-921-20120817-1200,1,Equipment Failure: ENI final investigation revealed that the resulting fire was caused by a failed internal thrust bearing that allowed a metal to metal friction point and rapid temperature increase in the presence of flammable dry oil.,,,,
EW-873-20220303-0315,1,Equipment Failure: Piston rod failed.,,,,
EW-873-20220303-0315,2,Piston rod penetrated engine housing allowing hot oil to spray on stored air filters.,,,,
GB-72-20111226,1,The lessee and all personnel engaged in the disassembling operations failed to adhere to Enterprise's EH&S Management System Safety Policies Manual 3.6.3 Lift,,,,
GB-72-20111226,2,"Guidelines: Line 6. Check the area of lift and travel prior to the lift to ensure that personnel are notified, in safe positions and clear of obstructions. Line 7. All persons remain at a safe distance away from the lifted load at all times.",,,,
GB-72-20111226,3,"As per the Seatrax Accident Investigation Report, the recommended action to prevent future or similar occurrences: Sequence of job steps in JSA address personnel to move back away from the boom connection points before removing boom sections. This step should have been addressed as per Enterprise's EH&S Management System Safety Policy prior to decommissioning operations.",,,,
GB-72-20111226,4,"The IE was a short service employee (SSE) according to Seatrax policy. Seatrax Short Service Employee policy, Section 48.1 Key Practices defines a SSE as any personnel with less than six months experience in the same job type or with Seatrax, Inc... The policy also states that multiple mentors will be assigned to each SSE and will be onsite to supervise the SSE. In Section 48.2 Responsibility, the policy states that the mentor communicates the SSE policy and expectations at the pre-job meeting. Although Seatrax provided a mentor for the SSE, the mentor failed to ensure the safety of the SSE. The mentor, crane operator and signalman should have ensured that the SSE remained at a safe distance away from the boom tip before giving the signal to make the lift.",,,,
GB-426-20190331-1745,1,The IP failed recognize the fall/trip hazard while attempting to exit the firewater pump skid. The skid is painted to identify the 17 inch drop while entering or exiting the skid.,,,,
GC-155-20140924-0600,1,A leaking dump valve on the #3 pit allowed Synthetic Based Mud to slowy drain out of the pit.,,,,
GC-155-20140924-0600,2,"Due to ongoing cleaning operations at the time of the incident, the master valves for the pits were in the open position. This allowed the Synthetic Based Mud to flow into the gulf once it escaped past the leaking dump valve.",,,,
GC-155-20140924-0600,3,"Mud Pit #3 was left unattended for an extended period of time after the mud transfer was complete. Had the Derrickman stayed in the area long enough to confirm that all of the valves were holding, the discharge may have been stopped or greatly decreased.",,,,
GC-155-20140924-0600,4,"The Pit Volume Tranmitter (PVT) alarm was inoperable. Although the transmitter was on, the set points had been moved so far out of range that they were unable to detect the loss of fluid.",,,,
GC-281-20210604-0930,1,Lack of situational awareness due to the IP's left hand placement in a clearly identified pinch point.,,,,
GC-281-20210604-0930,2,IP was placed in an unnecessary position in a unidentifed red zone. IP became complacent with the job.,,,,
GC-608-20121219-1400,1,"The employees involved failed to recognize all of the potential hazards that could be encountered during the lift before starting the job. Had the employees identified these hazards and put controls in place to eliminate the identified hazards, the probability of the accident occurring would have been drastically reduced or possibly eliminated.",,,,
GC-608-20121219-1400,2,No JSA was done to identify the potential hazards of the job.,,,,
GC-608-20121219-1400,3,Poor or lack of communication during the lifting operations.,,,,
GC-608-20121219-1400,4,Bad body placement: The IP left himself in an area where there was no escape route and was unaware of his foot placement while the load was in the air. He was also in a position where he could not be seen by the Crane Operator.,,,,
GC-608-20121219-1400,5,"Failure to follow company policy: Roustabout failed to attach taglines to the load before the lift was made. The decision to not use a tagline or pushrod forced the IP to use his hands to try to control the load, putting him in a close proximity to the tank and vulnerable to a potential accident.",,,,
GC-608-20121219-1400,6,The Crane Operator lowered the load back to the deck without being instructed from his flagger to do so and without the knowledge of the IP's position in relation to the load.,,,,
GC-608-20121219-1400,7,"Lack of experience: At the time of the accident, both of the employees were relatively new to their positions. The Crane Operator had been in that position for less than a year and the Roustabout had been in his position for approximately one year. This could have been a contributing factor in the accident.",,,,
GC-645-20180519-1323,1,Failure to follow the planned procedure.,,,,
GC-645-20180519-1323,2,"Conflicting instructions from the rig's management. The Driller gave instructions for the crew to not remove any bolts from the riser and LSG frame, but the Toolpusher gave instructions for the crew to remove the bolts.",,,,
GC-645-20180519-1323,3,Failure to stop work when instruction was given that was not in line with the planned procedure.,,,,
GC-20170913-0709,1,Improper valve alignment allowed SBM to be discharged into the Gulf of Mexcio.,,,,
GC-20170913-0709,2,Personnel failed to properly verify valve alignment prior to pumping water overboard.,,,,
GC-20170913-0709,3,The leaking splitter valve may have contributed to the SBM discharge.,,,,
GC-821-20210227-1330,1,Improper valve alignment allowed SOBM to be discharged into the Gulf of Mexico. Failure to follow procedure for transferring permitted fluid overboard.,,,,
GC-821-20210227-1330,2,Inadequate communication between tour change.,,,,
GC-680-20171227-1845,1,Severe corrosion to the buoyancy can air fill-up lines is the most likely cause of this incident.,,,,
GC-680-20171227-1845,2,N/A,,,,
GC-680-20170429-0112,1,"The vibration of the compressor engine caused the tubing to rub against a retaining bolt head, creating a hole and allowing coolant to spray onto the engine exhaust piping. The piping was covered with protective heat blankets, and once saturated with the coolant, ignited.",,,,
GC-680-20170429-0112,2,N/A,,,,
GC-787-20180508-0915,1,"Based on BSEE's investigation and BP's internal investigation, the following findings were identified: The correct seals were not installed due to personnel not having knowledge of the importance of the seals, poor oversight by BP employees, and the technician and BP employees being unaware of the installation procedures. Also, there was no evidence found that BP had a process in place for managing third party equipment owners doing work on their facilities. The technician did not have sufficient training prior to performing work on Atlantis and did not follow the OEM (original equipment manufacturer) procedures while installing the transmitter. The gas detection system did not alarm and no ESD (emergency shutdown) was activated during the time of the gas release. Personnel did not recognize the gas release as an emergency and the emergency response procedure was not followed as per their training, drills, and assessments. Initiating the general alarm or the ESD was not considered during the event which prolonged the gas release putting the safety of all on board at risk. In 2011 and 2015, F&G (Fire and Gas) assessments were performed on Atlantis and both assessments recommended that additional gas detection sensors be installed on the facility. Also, the lack of speak-up and trust between BP leadership and BP technicians as well as the safety culture on Atlantis were all cited as contributing to the response by personnel to the gas release.",,,,
GC-787-20180508-0915,2,"During ongoing simultaneous operations around the time of the incident, the control room operators bypassed the shut-in functions of the line-of-sight gas detectors for the sales gas skid. The point gas detectors were not placed in bypass, however the distance of the detectors in relation to the gas skid did not sense the presence of the gas.",,,,
GI-22-0850,1,"According to Energy XXI investigation, a pin-hole leak in the 2"" braided, flex starter exhaust piping was the source of fuel for the fire.",,,,
GI-22-0850,2,"The ignition source was reported by Energy XXI possibly being from the starter engaging with the engine flywheel creating a spark. BSEE's Accident Investigator's assessment based on the available information provided would suggest that the ignition source would have come from either, the opened conduit junction box, exposing the magneto voltage to the engine coils and spark plug wires power source or portable timing light tool or volt meter ground. Note: The opened junction box was classified for use in hazardous locations and located at the height of where the mechanic's face and hands were burned at the time of the ignition of the flash fire.",,,,
GI-22-0850,3,"It was reported that the flash occurred while the compressor was cranking and turning over, which would suggest the starter was fully engaged and gears meshed and highly unlikely creating a spark. However, the engine's ignition and voltage systems would have been energized and active.",,,,
GI-22-0850,4,"It was determined by Energy XXI that the habit of personnel stepping up on the braided, flex, starter exhaust gas piping to access the equipment up on the compressor engine had created a hole or crack allowing natural gas to leak externally.",,,,
GI-22-0850,5,Evidence (pictures taken immediately after accident) indicates that an explosion proof cover had been removed for access to the ignition system wiring during the engine timing process. It has not be determined if the use of a gas detector to monitor the area for gas was being utilized prior to and at the time of the flash fire.,,,,
HI-110-20151117-0700,1,Improper chemical handling.,,,,
HI-110-20151117-0700,2,The IP failed to recognize the rag he removed from the bucket to kneel on was saturated with Tretolite DM0484X demulsifier.,,,,
HI-536-20130718-1200,1,"The IP lost control of the 65# site glass after the upper pipe nipple broke. After the upper pipe nipple broke, the weight of the sight glass and momentum caused his left index finger to strike the corroded edge of the ASME code plate bracket.",,,,
HI-536-20130718-1200,2,The IP was not wearing gloves. The BJSA did not include sight glass removal. Improper technique was used to remove the site glass.,,,,
HI-20160828-0800,1,"Injured Person did not ensure that someone spotted/anchored the ladder at deck level, securing it before ascending up the ladder.",,,,
HI-20160828-0800,2,"Pre-Task Hazard Inspection Checklist and the Job Safety and Environmental Analysis (JSEA) had no annotation of working with ladders, work surfaces being slippery or wet,Safety Harness & Anchor Device 100%, and a Fall Protection Rescue System was not reviewed during the Safety Briefing.",,,,
HI-20160828-0800,3,Person In Charge failed to sign the JSEA,,,,
UNKEYED-b2febb71716d,1,Management Systems: The JSA and the Nabors procedure “OPS-WIN-019” did not contain specific instructions on how to slow the block speed; and to set the overpull to accommodate the weight of the block and single casing joint.,,,,
UNKEYED-b2febb71716d,2,"LIST THE CONTRIBUTING CAUSE(S) OF ACCIDENT: The crane was not used to control the free lower end of the joint of casing through the V-door, which would have helped change the positioning of the casing while picking it up into the derrick.",,,,
UNKEYED-b2febb71716d,3,LIST THE ADDITIONAL INFORMATION:,,,,
MC-437-20190506-0748,1,Equipment failure – Flawed equipment design: The UPS system failed due to shorted capacitors and undersized fuses on the inverter capacitor bank,,,,
MC-437-20190506-0748,2,Equipment Failure - Flawed equipment construction: Generator swapping operations caused the loss of normal power on the facility.,,,,
MC-762-20141021-1805,1,Human Error Poor hand placement. The (IP) placed his hand in a known pinch point. The JSA clearly states that all personnel involved in this operation should be aware of their surroundings and where the crew places their hands and feet.,,,,
MC-762-20141021-1805,2,Witness statements suggest the (IP) was attempting to stop the rotation of the (RMS). ­ IP used improper hand placement. ­ Fitness to Work standard was not followed. IP had worked 18 hrs the previous day and had aleady worked 12 hrs at the time of the accident. ­ ­ There were no hazardous markings at the pinch point of the (RMS) and no type of safety guarding around the pinch point. ­ Load was hoisted unevenly causing the (RMS) to spin. ­,,,,
MC-778-20200713-1055,1,Human Performance Error - Inattention to task: BP decided to place the well into production before verifying that the workover fluids were cleaned up.,,,,
MC-778-20200713-1055,2,N/A,,,,
MC-942-20151130-0915,1,Human error.,,,,
MC-942-20151130-0915,2,The I.P. placed himself directly in the line of fire.,,,,
MC-942-20151130-0915,3,The air tugger operator should not have raised the joint of pipe at the I.P.’s request.,,,,
MC-942-20151130-0915,4,Maersk rig personnel did not follow their own policy/procedure should the pipe drift (rabbit) become lodged inside of the drill pipe. (See last paragraph in section,,,,
MC-942-20151130-0915,5,.,,,,
MC-607-20181201-0339,1,"The extreme unexpected changes in wind speed and direction due to strong thunderstorms caused an excursion of the vessel's planned position. Due to these rapid changes, the vessel was unable to maintain position while being latched up to the well. This event subsequently resulted in an Emergency Disconnect Sequence (EDS-3).",,,,
MC-607-20181201-0339,2,N/A,,,,
MC-736-20180516-1015,1,Management Systems- Inadequate Management of Change (MOC) procedures: The change in water production did not prompt a review of the produced water handling system.,,,,
MC-736-20180516-1015,2,"Human Performance Error - inadequate knowledge of equipment operations: With the ongoing pollution, personnel continually adjusted chemical rates and levels in the FWKO, Float Cell, and the Wet Oil Tank following the production start-ups from May 13, 15, and 16, 2018 without taking the appropriate action shutting in the facility.",,,,
PL-23-20160229-1930,1,"Findings performed by an engineering firm investigating the incident states in part: ""1. The mechanism of this failure was thermo-galvanic corrosion where the top of the fire tube, which was the hottest area, became anodic to the cooler metal in the water.",,,,
PL-23-20160229-1930,2,"This galvanic cell required several parameters to be present to produce the extremely high corrosion rates that were observed on the fire tube. These parameters included the temperature gradient on the metal surface that was water wet, the scale deposition on the top of the tube, the chloride concentration in the produced water, and the low pH of the produced water. These parameters when combined together produced the highly corrosive galvanic cells that resulted in the failures.",,,,
PL-23-20160229-1930,3,The water in the treater had a measured laboratory pH of only 2.95. This very low pH accelerated the corrosion process. It was possible that the phosphoric acid in the emulsion breaker had contributed to the low pH. [...],,,,
PL-23-20160229-1930,4,"The low pH condition converted the CO2 in the water to carbonic acid, which made the water very corrosive. This would explain why the pits exhibited a mesa corrosion morphology that is usually associated with CO2 corrosion.",,,,
