Incident Number,Cause number,bsee_source_field
MP-299-20060905-0900,5,19
MP-299-20060905-0900,6,19
MP-299-20060905-0900,7,19
MP-299-20060905-0900,8,19
MP-299-20060905-0900,9,19
MP-299-20060905-0900,10,19
MP-299-20060905-0900,11,19
MP-299-20060905-0900,12,19
MP-299-20060905-0900,13,19
SS-33-20060906-0800,1,18
SS-33-20060906-0800,2,19
SS-33-20060906-0800,3,19
SS-33-20060906-0800,4,19
MP-299-20060921-0630,1,18
MP-299-20060921-0630,2,19
MP-299-20060921-0630,3,19
MP-299-20060921-0630,4,19
MP-299-20060921-0630,5,19
MP-299-20060921-0630,6,19
MP-299-20060921-0630,7,19
MP-299-20060921-0630,8,19
MP-299-20060921-0630,9,19
MP-299-20060921-0630,10,19
MP-299-20060921-0630,11,19
AT-574-20061006-0140,1,18
AT-574-20061006-0140,2,19
GB-873-20061008-0200,1,18
GB-873-20061008-0200,2,19
SM-236-20061009-1830,1,18
SM-236-20061009-1830,2,19
ST-52-20061010-0950,1,18
ST-52-20061010-0950,2,19
EI-330-20061011-2345,1,18
EI-330-20061011-2345,2,19
HI-20061013-1530,1,18
HI-116-20061028-2030,1,18
MC-737-20061030-0800,1,18
MC-737-20061030-0800,2,19
MC-737-20061030-0800,3,19
HI-20061031-0920,1,18
MC-566-20061104-1100,1,18
MC-566-20061104-1100,2,18
MC-566-20061104-1100,3,19
MC-566-20061104-1100,4,19
MC-777-20061105-0657,1,18
EI-88-20061111-1500,1,18
EI-88-20061111-1500,2,19
WC-294-20061112-0700,1,18
WC-294-20061112-0700,2,19
SS-242-20061115-1800,1,18
SS-242-20061115-1800,2,19
SP-49-20061117-1020,1,18
SP-49-20061117-1020,2,19
WC-130-20061118-1315,1,18
WC-130-20061118-1315,2,19
WC-130-20061118-1315,3,19
WC-130-20061118-1315,4,19
ST-300-20061123-1950,1,18
ST-300-20061123-1950,2,19
EI-349-20061125-0715,1,18
EI-349-20061125-0715,2,19
SP-49-20061129-0830,1,18
SP-49-20061129-0830,2,19
MP-69-20061204-2300,1,18
MP-69-20061204-2300,2,18
MP-69-20061204-2300,3,19
MP-69-20061204-2300,4,19
MP-69-20061204-2300,5,19
SS-129-20061209-0600,1,18
SS-129-20061209-0600,2,19
EI-330-20061209-1015,1,18
EI-330-20061209-1015,2,19
MI-656-20061212-0740,1,18
MI-656-20061212-0740,2,19
KC-785-20240307-1500,1,18
KC-785-20240307-1500,2,19
KC-785-20240307-1500,3,19
KC-785-20240307-1500,4,19
KC-785-20240307-1500,5,19
SM-6374-20070207-1800,1,18
SM-6374-20070207-1800,2,19
LB-6438-20120607,1,18
LB-6438-20120607,2,18
LB-6438-20120607,3,18
LB-6438-20120607,4,19
MC-127-20070124-1200,1,18
MC-127-20070124-1200,2,18
MC-127-20070124-1200,3,19
VK-956-20070126-1500,1,18
VK-956-20070126-1500,2,19
EW-948-20070126-0800,1,18
EW-948-20070126-0800,2,19
EW-989-20070130-0920,1,18
EW-989-20070130-0920,2,19
GC-743-20070201-1715,1,18
GC-743-20070201-1715,2,19
MP-261-20070204-1225,1,18
EI-349-20070207-0900,1,18
EI-349-20070207-0900,2,19
ST-245-20070208-2145,1,18
ST-245-20070208-2145,2,19
GC-468-20070209-0800,1,18
GC-468-20070209-0800,2,19
ST-135-20070209-0801,1,18
ST-135-20070209-0801,2,19
HI-154-20070210-1200,1,18
HI-154-20070210-1200,2,19
SS-253-20070214-0945,1,18
SS-253-20070214-0945,2,19
EI-337-20070217-1000,1,18
EI-337-20070217-1000,2,19
GC-177-20070217-1050,1,18
GC-177-20070217-1050,2,19
GB-244-20070219-2020,1,18
GB-244-20070219-2020,2,19
MP-77-20070222-1730,1,18
MP-77-20070222-1730,2,19
SM-275-20070226-1400,1,18
SM-275-20070226-1400,2,19
GC-782-20070228-2014,1,18
GC-782-20070228-2014,2,19
GC-743-20070228-1500,1,18
GC-743-20070228-1500,2,19
GB-426-20070302-0615,1,18
GB-426-20070302-0615,2,18
GB-426-20070302-0615,3,18
GB-426-20070302-0615,4,18
GB-426-20070302-0615,5,18
GB-426-20070302-0615,6,18
GB-426-20070302-0615,7,19
GB-426-20070302-0615,8,19
GB-426-20070302-0615,9,19
GB-426-20070302-0615,10,19
GB-426-20070302-0615,11,19
GI-37-20070310-1525,1,18
WR-627-20070312-1103,1,18
WR-627-20070312-1103,2,19
ST-21-20070314-0200,1,18
EI-330-20070316-1345,1,18
EI-330-20070316-1345,2,19
GC-645-20070328-0515,1,18
GC-645-20070328-0515,2,19
MC-726-20070330-0650,1,18
MC-726-20070330-0650,2,19
MC-726-20070330-0650,3,19
ST-41-20070330-0900,1,18
ST-41-20070330-0900,2,19
ST-193-20070401-1645,1,18
ST-193-20070401-1645,2,19
MC-696-20070405-1800,1,18
MC-696-20070405-1800,2,19
BA-20070417-0200,1,18
BA-20070417-0200,2,19
GI-37-20070419-1045,1,18
GI-37-20070419-1045,2,19
SS-266-20070428-2030,1,18
SS-266-20070428-2030,2,19
MC-29-20070507-1930,1,18
HI-20070513-0630,1,18
HI-20070513-0630,2,19
ST-204-20070518-1715,1,18
ST-204-20070518-1715,2,19
GC-243-20070518-1455,1,18
GC-243-20070518-1455,2,19
