Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
SM-6374-20070207-1800,,,2007-02-07,18:00,,SM,6374,IRENE,,,LIFTING DEVICE,,,,,INV-ef02ba,,,,,,,,,,"17. INVESTIGATION FINDINGS,
The electrician had removed the end cover from the MCC cabinet prior to conducting a
pre-job inspection; the MCC cabinet had not been de-energized prior to cover removal.
The electrician removed insulating tape fem the end of the buzz bars (three phases
with a total on nine buzz bars}. The tape's adhesive left a residue on the buzz
bars. The electrician attempted to remove the residue build up by using an aerosol
product called Lectra-Clean, which is an electrical grade cleaner for de-energized
electrical equipment. Due to the poor results of the solvent, he then attempted to
use a wire brush (stainless steel bristles with a plastic handle) to rem.eve the
residue from the buzz bars. While using the wire brush an electrical arc flash
occured from the steel bristles making contact with the buzz and the cabinet. The
investigation determined multiple causal factors, including; phase to phase, phase to
ground and metal dust and dirt becoming entrained in the cleaning solvent from the
scrubbing action. This could have created a conduit and it ignited when the brush
bristles arced.",,,,,,,,,,,,,,,,
UNKEYED-f2092c4221f5,,,2012-06-07,,,,6438,ELLY,,,LIFTING DEVICE,,,,,INV-cd8d06,,,,SUP-8f8e0d,District Supervisor,,,,,"17. INVESTIGATION FINDINGS'
The job being done by A&E Welding on the morning of June 7, 2012 was the demolition
of an inactive 18l water injection line to make room for the proposed installation of
a new powerhouse unit. A&E personnel were cutting the line into sections for
removal. One section of the injection line (estimated to be about 10 feet in length)
was close to being ready for removal, so the two ends of the line needed to be
s""upported prior to making the final cuts. Portable chain falls suspended from above
were to be used to support the line and assist with moving it out of place. To
provide overhead support for the portable chain falls, temporary support devices
known as lStrong backBl are used to span the 4-foot distance between existing
overhead structural I-beams (that support the platform deck above} • The strong backs
being used for this application each consist of two high-strength parallel pipe-like
rails connected together at several locations. They each weigh about 47 pounds and
are 3 feet 11 inches in length. They are clamped'to the I-beams using removable
clamps. A load-rated choke line is placed around the strong back and the chain fall
is connected to the choke line. The chain fall, in turn, provides the support for
the section of pipeline to be removed. On the morning of Jurie 7, 2012, the
southernmost strong back/chain fall assembly was already in place, supporting the
south end of the section of 184 line planned for removal. The northerly strong back
needed to be put in place to support the northern end of the line prior to completing
the final cut. Brand Energy and Infrastructure (Brand) provided the
Ser~ices
scaffolding, structural support devices, and protective containment structure in
support of A&ElS demolition job. This is typical of the type of services Brand
routinely provides to Beta Offshore for all types of platform work.
foreman for Brand, was notified by of A&E that the northerly strong back
needed to be placed. Mr. elected to assist with this himself and promptly
climbed up to install the strong back. With proper fall protection, Mr.
climbed up the scaffolding that was set up t-o provide access to higher sections Qf
the injection line and also to support a full physical containment structure arot:m.d
the work area. He then used available structures higher up to stand on while
installing the strong back. The task of installing this type of strong back
typically requires two· people, one at each end, to attach and secure the clamps to
the I-beams. in his effort to assist A&E, felt confident that he could
Mr. ,
install the strong back by himself. Having just spoken to ·Mr. , Mr.
felt confident that Mr. was aware this installation was being done. Looking
down, Mr. saw no indication that Mr. was still in the work area. Part
of the scaffolding in and around this work area consisted of a supported plywood
platform. The platform was used to stand on to access higher sections of the
injection line. It also could provide overhead protection to anyone who might on
b~
the deck below. If Mr. had not left the work area, he could possibly have been
beneath this platform., but in any case, according to Mr. , he was not vi$ible
from the location where the strong back was being installed. As Mr. was
tightening the first of two clamps, the. strong back shifted sidewayS and lost support
at the opposite end. Its weight could not be supported by the single remaining clamp
and it fell approximately 24 feet to the deck below. It hit something on the way
down, which reportedly sounded like something inert, possibly the injection line.
Mr. looked down and still saw no indication that anyone was there. He came
down and was sul=-prised to find Mr. with head and face injuries under the
attendance of two coworkers.
Mr. was being attended by and , both with A&E. Mr.
had just walked into the containment area (beneath the plywood platform}
toward Mr. when he heard a crashing sound and then· saw that Mr. had
be~n
struck in the head. He did not witness the actual impact. Mr. was alao in
the vicinity but did not see the impact either.
. , foreman for A&E, became aware of the incident and came to the location.
Despite several lacerations to the forehead, right cheek, nose and lip and with
significant bleeding, Mr. was on his feet and coherent and elected to walk
across the bridge to the Platform Ellen Compliance office to get first aid. He was
accompanied by arid
Based on the various obstructions between the initial and final positions of the
strong back, it is believed that it hit something inert first and then wa$ deflected
toward Mr. head and face. It is believed, based on the recollection of Mr.
that Mr. was not beneath the protective plywood platform, but was likely
standing beneath a 12-14l wide.electrical cable tray that crossed this and was
ar~a,
therefore out of the view of Mr. Although the impact cracked
M~.
hard hat and caused significant cuts to the face, it is believed, based on the weight
of the strong back, that Mr. not receive the full impact of its fall.
d~d",,,,,,,,,,,,,,,,
UNKEYED-6e8704573b22,,,,07:45,,,6658,B,,,LIFTING DEVICE,,,,,INV-2396e4,,,,SUP-c7a634,District Supervisor,,,,,The M.V. Donna Gail collided with platform B on the north east corner.,,,,,,,,,,,,,,,,
MC-127-20070124-1200,,,2007-01-24,12:00,,MC,127,A-Horn Mountain,,,LIFTING DEVICE,,,,,INV-85e23d,,,,SUP-6e6af5,District Supervisor,,,,,"While cleaning up after a job around the Methanol tank, Operations personnel started
to remove tools from an elevated work platform. The crew was lowering a pry bar down
to the work deck, attempting to tie a 1/2 inch rope around the pry bar when the pry
bar slipped out of crew member's hand falling at an angle, striking the ladder cage
causing the pry bar to deflect and strike the injured person (IP), who was standing
approximately 5 feet from the caged ladder. The job was stopped and the IP
immediately left the worksite and notified medic. HSSE Advisor and OIM was notified.
IP was evacuated. The IP lost three teeth and received a laceration on his
mouth/lower lip that required 25-30 stitches.",,,,,,,,,,,,,,,,
956-20070126-1500,,,2007-01-26,15:00,,,956,A-Ram Powell,H&P 205,,LIFTING DEVICE,,,,,INV-fb3244,,,,SUP-7756b6,District Supervisor,,,,,"While preparing to lower the derrick, the cable of the derrick lowering winch pulled
out of the factory made open spelter socket. The cable was attached to the bottom
lowering sheave body, which is in turn secured to the derrick. An attempt was made to
lift the derrick slightly to relieve tension allowing the slides to be removed more
easily. As the weight increased, the cable was pulled out of the socket. Only 3 of 8
slices had been removed prior to the failure. When
the crews began to push the slides back into place",,,,,,,,,,,,,,,,
EW-948-20070126-0800,,,2007-01-26,08:00,,EW,948,,DIAMOND OCEAN CONCORD,,LIFTING DEVICE,,,,,INV-c1719a,,,,SUP-29af2d,District Supervisor,,,,,"Bundles of 3.5 inch drill pipe were being backloaded onto a work boat. The load was
swung over the boat and landed on the boat. The bundle of pipe was sat down across
two bundles of pipe. The employee on the forward end of the pipe retrieved his tag
line on the starboard bow. The other employee moved down the port side of the boat
to gain access to his tag line. When he was approximately 20 feet from the end of
the pipe bundle, the boat heaved and the load swung toward the port side of the boat.
The employee moved behind the bull works to get out of the way of the pipe. Then,
he came from underneath the bull works and was reaching for his tag line. The bundle
of pipe struck the employee in his chest and pinned him against the bull works. The
injured employee was found lying across bundles of pipe on the boat deck. He was
alert and oriented but stated that he initially went unconscious. He complained of
pain in the sides of his chest and the entire upper back. Also, he complained of
having difficulty breathing. He was spitting up small amounts of blood. He was
transferred to shore for medical attention. The injured party is undergoing medical
treatment for three broken ribs and two punctured lungs. He is expected to return to
work in three to four months.",,,,,,,,,,,,,,,,
EW-989-20070130-0920,,,2007-01-30,09:20,,EW,989,,DIAMOND OCEAN NEW ERA,,LIFTING DEVICE,,,,,INV-c1719a,,,,SUP-8e0751,District Supervisor,,,,,"Two roustabouts were working on the pipe rack, laying down the work string. The
crane crew was using a water hose to wash away any residual material from the work
string as it was laid down. The water contained Zinc Bromide (ZnBr) from the work
string. Both injured parties had on slicker suits, but the suits were not secured
with enough duct tape and allowed the water to make contact with their pants. ZnBr
chemical burns resulted to the lower legs of both individuals. Both employees
noticed irritation around the top edge of their boots but thought it was just from
their boots rubbing their legs. They were seen limping by the company man and were
told to go see the safety representative to be checked out. One of the injured
workers had dark red areas with small ulcers on both legs. The ulcers appeared to be
healing. The other injured worker had two ulcer type wounds and red areas on both
legs. Both injured parties were flown in to see a doctor. One of the injured
parties was released back to full work duty that day. The other injured party was
away from work for seven days. Both employees have since returned and are currently
back at work. If the injured parties would have reported their injuries as soon as
the pain was noticed, the burns would not have been as severe and they probably would
not have missed any work.",,,,,,,,,,,,,,,,
GC-743-20070201-1715,,,2007-02-01,17:15,,GC,743,,GSF DEVELOPMENT,,LIFTING DEVICE,,,,,INV-5f0236,,,,SUP-448900,District Supervisor,,,,,"On the afternoon of February 1, 2007 the rig had stopped drilling and had pulled the
drill pipe back in to the casing shoe to work on maintenance items and was
circulating the wellbore. The electric motor on one of the shale shakers failed. The
screens stopped moving and coated over with mud and cuttings. Three barrels of
synthetic based mud (SBM) overran the screens into the secondary skimmer for the
cuttings drying equipment which overflowed into the over board trough and then into
the Gulf. The duration that the shaker was inoperative was about one minute. See
attached pictures and diagrams of the shale shaker area.",,,,,,,,,,,,,,,,
MP-261-20070204-1225,,,2007-02-04,12:25,,MP,261,A,,,LIFTING DEVICE,,,,,INV-85e23d,,,,SUP-6e6af5,District Supervisor,,,,,"The C operator was walking toward the Lead Operator on the lower production deck when
he tripped over a well can cover and fell forward landing on his right side. The well
can cover protruded about 2 to 3 inches above the grating due to cut casing that was
put down too hard during P&A Operations. The operator was in the process of
barricading off the area when he tripped. It was not painted at the time of the
incident. The injured complained about pain in his back. He was transported to the
hospital for a medical evaluation. He was diagnosed with an inflamed sciatic nerve
and taken off work duty. He was given a full release on 2-8-07 and returned to work.
The incident resulted in 4 days away from work",He was diagnosed with an inflamed sciatic nerve and taken off work duty.,,,,,,,,,,,,,,,
EI-349-20070207-0900,,,2007-02-07,09:00,,EI,349,B,,,LIFTING DEVICE,,,,,INV-01a3af,,,,SUP-3400cc,District Supervisor,,,,,"A hydrocarbon spill of 2.14 bbl. was discharged into the OCS waters from the Eugene
Island Block 349, B platform on Febuary 7, 2007 at approximately 09:00 hours. The
source of the spill was the sump tank and the spill occurred as personnel were
washing down the main decks of the platform. Platform personnel investigated the
sump tank system and determined that the sump tank had carried under and evacuated
the sump tank of all liquid hydrocardons and water. The platform deck wash down
operations directed a large volume of water through the platform containment system
to the sump tank. The large volume of wash down water commingled with hydrocarbons
in the sump tank until the sump tank subsequently lost its oil-water interface. Once
the oil-water interface was lost, liquid hydrocarbons and water began siphoning out
the sump tank through the sump tank water leg. MMS Inspectors observed the
hydrocarbon spill originating from the B platform, landed and initiated an onsite
investigation. Onsite investigation determined that the water leg on a new sump tank
that had just been installed had not been equipped with a siphon vent. MMS
Inspectors issued an E-100 Incident of Noncompliance
shut-in.",,,,,,,,,,,,,,,,
ST-245-20070208-2145,,,2007-02-08,21:45,,ST,245,A,,,LIFTING DEVICE,,,,,INV-c1719a,,,,SUP-349f62,District Supervisor,,,,,"A Leap Frog crane had been moved to a workover service location. Welding on the
crane boom had been completed and the operator began load testing the crane. The
boom was at an angle of 55 degrees and was being tested to 32,500 pounds, which is
125% of the rated load for this angle. When the load reached 32,000 pounds, the boom
bent on a section of the base. The crane was taken in to be repaired. After the
crane had been repaired, the entire boom was tested and passed all inspections. The
crane was reassembled on the platform and re-tested.",,,,,,,,,,,,,,,,
GC-468-20070209-0800,,,2007-02-09,08:00,,GC,468,,DIAMOND OCEAN BARONESS,,LIFTING DEVICE,,,,,INV-00980f,,,,SUP-b4b2d7,District Supervisor,,,,,"On the morning of February 9, 2007 the well had drilled to feet when a slight
drilling break was encountered. Drilling was stopped and the bit was picked up off of
bottom to check for flow and the well was not flowing. Due to over pull when picking
up off of bottom it was decided to circulate bottoms up. Within a short time tar was
noted in the mud returns. The drill pipe and bottom hole assembly (BHA) were pulled
back into the base of the salt zone at feet to circulate the hole clean and
evaluate drilling ahead thru the tar. While circulating at about 8:00 o'clock in the
morning the mud engineer noticed that the pits were losing synthetic based drilling
fluids (SBM). The rig jumped the ROV to check the riser and blow out preventers
(BOPs) for possible loss of SBM. The ROV found a 5 to 10 foot long stream of SBM
flowing out of a weep hole in the Lower Marine Riser Package (LMRP) at the riser flex
joint. The leak was discovered around 10:30 and the well was immediately shut in at
the BOPs using the annular. The level in the riser dropped 10 feet before stabilized
and the leak stopped. The last time the riser and BOPs were inspected by the ROV was
at 6:00 o'clock that morning and no pollution was noted.
The SBM loss was based on the loss in the pits on the rig. Some of the loss could
have occurred down hole into the rubble zone just below the base of the salt which is
normal for this depth and location. The weep hole was later identified as a test
port. The test port of the Flex Joint is used by the manufacturer for factory
acceptance testing and is typically not a field serviced item. is the
manufacturer of the flex joint, this design has been around for many years and this
is the first known failure of this type.
The drill pipe was isolated by setting two Cast Iron Bridge Plugs (CIBPs) at
approximately feet. The drill pipe was hung off in the middle pipe rams. A
back-off of the drill pipe was made at the BOP stack. At this time another release
of SBM occurred from the fluid that was in the drill pipe above the BOP stack. The
estimated volume of this release was 43 bbls. The drill pipe that was above the BOP
stack was pulled out of the hole. The riser was then displaced of remaining mud with
seawater. After determining how much mud was in the riser initially, and comparing
that to the volume recovered, the estimate of total 14.9 ppg SBM lost was estimated
to be 862 bbls (53% base oil or 457 bbls of base oil).
The riser was then pulled, the Flex Joint was replaced, the LMRP was serviced and the
riser package was re-run. The riser was then displaced back to mud. The drill pipe
was screwed back in and the middle pipe rams were opened. The heavy-weight drill pipe
was perforated above the CIBPs from . The well was circulated clean
from this depth. The drill pipe and BHA were pulled out of the hole for replacement
of the perforated joint of heavy-weight drill pipe and then normal operations
resumed.",,,,,,,,,,,,,,,,
ST-135-20070209-0801,,,2007-02-09,08:01,,ST,135,Z,DIAMOND OCEAN DRAKE,,LIFTING DEVICE,,,,,INV-c1719a,,,,SUP-9ee472,District Supervisor,,,,,"The crew was in the process of putting the rear mud pump cover back over mud pump #2.
The hook on one of the chainfalls that are used to lift the cover binded up on the
top rail of the mud pump support frame. This caused the hook to rotate towards the
opening of the hook. The strap inside of the hook then pulled out of the hook and
pulled the safety latch through the hook end. This caused the cover to tilt down and
strike the instep of the injured party's right foot. He was flown in to Leeville and
taken to West Bank Medical Center. His foot was examined and x-rays were taken. Two
fractures were found in his right foot. The doctor installed an orthopedic boot on
his foot. The injured party was away from work for eight weeks and was released to
full duty on April 2, 2007. He returned to work on April 6,2007, the next crew
change.",,,,,,,,,,,,,,,,
HI-154-20070210-1200,,,2007-02-10,12:00,,HI,154,JA,,,LIFTING DEVICE,,,,,INV-32de28,,,,SUP-bbb569,District Supervisor,,,,,"On February 10, 2007, welding/cutting operations were being conducted directly above
open grating. Slag fell to the lower deck, igniting a bucket containing rags and
rope.
On February 11, 2007, welding/cutting operations were being conducted directly above
open grating. Slag fell to the lower deck, igniting polyflow tubing by the
production separators.",,,,,,,,,,,,,,,,
SS-253-20070214-0945,,,2007-02-14,09:45,,SS,253,E,,,LIFTING DEVICE,,,,,INV-783aa6,,,,SUP-be9c9b,District Supervisor,,,,,"The platform personnel arrived on the platform and were conducting their walk-around
of the platform when they heard a large boom. One of the operators heard the boom
while in the well bay sub-cellar deck. He pulled the ESD station in the well bay and
headed up the stairs. He noticed a fire in the area of the compressor. He went back
down the stairs to go start the fire water pump. Two other operators were on the top
deck when they heard the boom. One of these operators walked over to see where the
noise was coming from. He tried to close the valve on the compressor but the area
was too noisy. He went to get some ear protection. When he returned, the gas had
ignited. The other operator felt a mist falling down from above and he pulled the
ESD station behind the fire wall of the compressor top deck. All of the operators
fought the fire using dry chemical as well as the fire water system. The fire was
extinguished in about ten minutes. The compressor was secured by closing valves and
was locked shut.
After the fire was put out, the crew found that a one inch double wire braided hose
failed. This allowed high pressure gas to vent and flow onto the hot metal of the
gas compressor. A misty spray followed the venting and consequently ignited and
burned the escaping gas. The flow was configured to flow from the third stage of the
compressor, through an adjustable choke, through a flow safety valve, and then
through the high pressure wire braided hose. Downstream of the hose, the hot gas was
sent in a one inch pipe that carried the gas to the sub-cellar deck. This high
pressure gas was used to unthaw gas lift lines during cold weather.",,,,,,,,,,,,,,,,
EI-337-20070217-1000,,,2007-02-17,10:00,,EI,337,A,NABORS S.D. XVI,,LIFTING DEVICE,,,,,INV-83ca77,,,,SUP-24453f,District Supervisor,,,,,"A slight bend in the crane boom heel section occurred on Devon Energy's platform
crane (Model No. CH 185 A/36120-01-1) located on Eugene Island (EI) Block 337, A
platform on February 17, 2007. At the time of the incident, the crane operator
employed by Nabors Sundowner XVI, platform rig, was operating the Devon production
platform crane. The Nabors Sundowner XVI crane operator was in the process of
repositioning a 6 inch X 30 feet suction hose from the top deck of the platform up to
a sidetrack tank on the same deck level. In order to position the suction hose on
the sidetrack tank, the crane operator needed to boom up higher than the boom stop
would allow. The crane operator activated the boom stop override in order to
continue to boom up. As the crane operator continued to boom up, the crane boom heel
made sufficient contact with the boom stop to result in a damaging bend to the crane
boom heel. There were no injuries or pollution as",There were no injuries or pollution as,,,,,,,,,,,,,,,
GC-177-20070217-1050,,,2007-02-17,10:50,,GC,177,,CAL DIVE Q-4000,,LIFTING DEVICE,,,,,INV-c1719a,,,,SUP-da6afd,District Supervisor,,,,,"A coil tubing unit was rigged up to the pipeline at Green Canyon 177 to clean out a
paraffin plug. The crew was using diesel to wash out the paraffin. A two
compartment tank was being used for fluids. One side of the tank held diesel and the
other side held seawater. The seawater was held to flush out the lines after the job
was completed. A drain line was rigged up to the seawater side in the event the
water was not needed. The compartment holding the diesel filled up and overflowed
into the seawater compartment. After the overflow into the water side, the outlet
valve on the drain line was accidentally partially opened. This allowed the seawater
and diesel soaked paraffin to go into the Gulf of Mexico. After the leak was found,
the valve was closed and the loss in volume in the tank was ten barrels. A sample of
the mixture was taken from the outlet of the tank. It was estimated that the mixture
was ten percent diesel soaked paraffin and ninety percent seawater. This made the
total amount of diesel overboard to be one barrel. The drain hose was removed and
the valve closed and sealed. A helicopter overflight was conducted the following
morning but no sign of a slick could be located.",,,,,,,,,,,,,,,,
GB-244-20070219-2020,,,2007-02-19,20:20,,GB,244,,T.O. F100,,LIFTING DEVICE Top drive/derrick,,,,,INV-7ddce0,,,,SUP-f4019e,District Supervisor,,,,,"On 19 February 2007 at approximately 2020 hours, a fifty-three pound lifting-sub fell
sixty-five feet from the derrick striking and injuring two contractors. One
contractor employed by Halliburton the other by Tesco, were installing a completion
assembly to a joint of 2-3/8"" production tubing when the lifting-sub fell to the rig
floor. The lifting sub was installed hand tight to the string of 2-3/8"" production
tubing, which would allow for easier removal once the tubing was set in the hole. The
connection of the completion assembly to the production tubing was done while the
completion assembly was sitting inside the mousehole on the rig floor. The completion
assembly position in the mousehole allowed the worker easier access to handle and
tighten the connection at waist height. Both contractors were unaware that the weight
of the pipe, while suspended in the mousehole, allowed the lifting-sub to back out of
its connection. Instead of tightening the completion assembly to the production
tubing they did the opposite by tightening the production tubing to the completion
assembly. This allowed the lifting-sub to back out of its connection due to the
weight of the tubing suspended on the lifting sub. A friction bite occurred when the
production tubing prevented the lifting-sub from rotating with the tubing as it was
made up into the completion assembly. It was observed by witness that the top drive
elevators were not lowered enough to clear the lifting-sub. All operations were
suspended to allow for safe removal of the two injured contractors from the rig
floor.",,,,,,,,,,,,,,,,
MP-77-20070222-1730,,,2007-02-22,17:30,,MP,77,A,,,LIFTING DEVICE,,,,,INV-f06f3c,,,,SUP-7756b6,District Supervisor,,,,,"Compressor Mechanic had just completed servicing the third stage suction and third
stage discharge valves on compressor number 3 and had begun to test associated
devices with the compressor running. The compressor had been running an estimated
time of a half hour. The Platform crew was in galley having their evening meal when
the fire alarm went off. Flames were found coming out of the compressor shroud
cooling fan. The compressor was immediately shut-in, and crew members shut the fuel
start and gas valves. The mechanic immediately shut the fuel gas valves as well, so
that the compressor would be completely isolated. The crew used the fire hose to
spray water on the affected area until the flames subsided. All valves were isolated
with tie wraps to prevent accidental opening until an investigation had been
performed. The compressor and surrounding area were flagged as well as having the
area taped off to prevent tampering and as a protective measure to prevent someone
from being injured until it was deemed safe to restart the compressor.",,,,,,,,,,,,,,,,
SM-275-20070226-1400,,,2007-02-26,14:00,,SM,275,A,,,LIFTING DEVICE,,,,,INV-812bf0,,,,SUP-b7bc4b,District Supervisor,,,,,"On February 26, 2007, at approximately 14:00 hours a contract mechanic employed by
Aggreko was injured when his right hand was pulled into an engine cooling fan by a
rag he was using to wipe up spilled antifreeze and motor oil. The contract mechanic
had shut down the generator to replace a faulty water pump. The engine fan blade
guard had been removed to allow for easier access to remove the faulty water pump.
Once work was completed, engine coolant and water was added to the radiator and the
engine was started to check for leaks. While in an area next to the radiator, the
mechanic was using a rag to wipe up spilled water/antifreeze and small amounts of
oil. The rag he was using was wrapped around his right hand while the opposite end
remained loose and unsecured allowing for the rag to come into contact with the fan
blades. The rag entangled on one of the blades pulling the mechanic's hand into the
fan blades resulting in severe injury to his right ring and pinky fingers. A
helicopter on the facility at the time of the incident air lifted the injured to a
Morgan City hospital.",,,,,,,,,,,,,,,,
GC-782-20070228-2014,,,2007-02-28,20:14,,GC,782,A-Mad Dog Spar,,,LIFTING DEVICE,,,,,INV-e08976,,,,SUP-4b004a,District Supervisor,,,,,"During normal operations on February 28, 2007 at approximately 20:11 hours,
activation of a Pressure Safety High (PSH-28401) on the water side of Export
Compressor #2 Discharge Cooler initiated a shut-down of all compression and Seawater
Lift Pumps on the Mad Dog facility.
While the pressure in the Booster Compression System was equalizing, the rupture
discs on the High Pressure Compressor #1 Discharge Cooler failed in the reverse
direction. Gas from the Flare Header entered the Seawater Cooling System and
expanded causing a water-hammer effect, piping damage, and an uncontrolled gas
release from multiple damage points in the Seawater Cooling Ssystem. Multiple gas
detectors (ASH's) then triggered a facility wide Emergency Shut Down (ESD) and
complete facility depressurization when they detected the released gas. Following
the incident, the facility was safely secured and inspections revealed equipment
damage was limited to the seawater cooling system.",,,,,,,,,,,,,,,,
GC-743-20070228-1500,,,2007-02-28,15:00,,GC,743,,,,LIFTING DEVICE,,,,,INV-395bca,,,,SUP-61111d,District Supervisor,,,,,"At approximately 1500 hours on 28 February 2007, during transfer of the chain from
the Pull-In Unit (PIU) to the Wildcat Unit (WWU), the WWU turned in an uncontrolled
manner by approximately a one-half turn. The chain catenary between the WWU and the
PIU was taken up, with the chain release taking approximately five to ten seconds.
The PIU was tilted approximately 30 degrees by the chain release, and after 30 to 60
seconds the PIU chain grippers released with the PIU falling near its original
position. The WWU brakes engaged, stopping the chain and holding the load. No
injuries, fatalities or pollution occurred.
Normal operation of the WWU while moving the chain uses speeds between 20% and 40%.
At approximately 15% speed the WWU drum moves at a slow speed that is difficult to
detect visually. At approximately 10% speed the speed control valve closes and the
winch is stopped and does not move. At 0% speed the valve is closed and the
mechanical brake is set (this is the same as pressing the stop button).
Various Operators indicated that they rarely use a speed less than 15%. None of them
could remember using that speed range except for very short periods of time (one or
two seconds) while jogging the control buttons to adjust the chain catenary. Normal
speed ranges used were between 20% and 40% or the unit was stopped using the stop
function.
The Operator at the time of the incident did use a slow speed setting. The operation
at the time was removing the last few links of chain from the PIU. There were
approximately seven links of chain below the PIU. The Deck Supervisor instructed the
Operator to lay the chain on the deck. Most Operators interviewed would have stopped
both the WWU and PIU and operated the PIU independently to accomplish this task. The
Operator at the time of the incident slowed the WWU down to a 1% to 2% speed. Within
minutes of doing this the WWU released the chain.
Since the control valve does not begin to open until approximately 10% setting, the
chain load was held by hydraulic pressure in the motors and the brake was not set.
Total case drain for the four motors can be as high a 34 liters per minute for this
case. The control valve set point was not such as to ensure that sufficient
hydraulic supply was kept to the motors for this period. The motors then drained of
hydraulic fluid, began operating as pumps, and then cavitated due to lack of fluid.
This incident occurred on GC787 (RUE - G23579), Atlantis PQ facility. On 26 February
2007, the subsea team onboard the Atlantis PQ began transferring the chain from the
PIU to the WWU. The purpose of this operation was to prepare the equipment for
pulling in umbilicals. This requires the chain to be taken out of the PIU and hung
off from the WWU.","No injuries, fatalities or pollution occurred.",,,,,,,,,,,,,,,
GB-426-20070302-0615,,,2007-03-02,06:15,,GB,426,A-Auger TLP,,,LIFTING DEVICE,,,,,INV-47d6e5,,,,SUP-ef1fd8,District Supervisor,,,,,"On March 2, 2007, at approximately 0500 hours, the control room of the Garden Banks
Block 426 Tension Leg Platform (TLP) A-Auger received an alarm indicating that the
Serrano Robicon electrical heat had shut down. Three to four seconds later the power
input breaker for the Serrano EH transformer tripped open. A Computer Assisted
Operations Operator (CAOO) acknowledged the alarm in the CAOO's office, then went to
the Robicon building and unsuccessfully attempted several times to reset the Robicon
unit. The CAOO viewed a ""nuisance alarm"" message on the Robicon equipment, but did
not scroll through other screens to determine if there were other alarms triggered.
The CAOO then cycled the control power (a normal procedure) to reset the Robicon
unit. This procedure will reset the Robicon unit even with alarm conditions
remaining. The CAOO went to CAOO's office and acknowledged alarms caused by the
cycling of control power. The CAOO then went to the main switchgear room and closed
the power input breaker for the Serrano EH transformer, which is contrary to the
Lessee's Electrical Safe Work Practice policy. Closing the power input breaker
prohibits resetting a circuit breaker while an alarm condition exists. When the CAOO
returned to the CAOO's office, alarm indications were observed. At 0606 hours,
approximately 70 seconds subsequent to the power input breaker being closed, an arc
flash occurred in the Serrano/Oregano power conversion building. Fast Responders
immediately responded to extinguish the resulting fire.",,,,,,,,,,,,,,,,
GI-37-20070310-1525,,,2007-03-10,15:25,,GI,37,R,,,LIFTING DEVICE,,,,,INV-21c76b,,,,SUP-91daba,District Supervisor,,,,,"Injured Person (IP) was flagging the crane while placing parts of another crane on
deck. It is our findings that while the operator was walking backward, he was not
observant of pinch points. After giving the signal to stop, the load continued to
swing. The IP was able to avoid the load, but before he could his head was slightly
pinned for a second. IP walked a few feet and collapsed. If he had taken the time to
turn sideways while flagging the crane, he would have
pinch points that he came in contact with. The IP was
company doctor. He was placed on restricted duty.",,,,,,,,,,,,,,,,
WR-627-20070312-1103,,,2007-03-12,11:03,,WR,627,,T.O. DEEPWATER,,LIFTING DEVICE,,,,,INV-00980f,,,,SUP-0b8e56,District Supervisor,,,,,"On March 12, 2007 at around 11:00 O'clock, the number four drilling riser tensioner
hose ruptured. The force of the compressed air escaping from the ruptured hose caused
it to swing around near the riser. As the drilling riser tensioner hose was swinging
around, it entangled the control air line to the slip joint packer in its frayed
metal inner core (see attached pictures). This resulted in the control air line being
pulled loose. The slip joint packer element relaxed when the air control hose broke
loose from the slip joint connection and this resulted in the release of 9 barrels of
synthetic based mud into the Gulf.
The Subsea Supervisor saw that the slip joint packer element was leaking and went to
the diverter control panel and applied pressure to the secondary hydraulic packer on
the slip joint. The control air line to the riser slip joint packer was replaced and
air pressure reapplied to the packer element.
Also the number four drilling riser tensioner hose was replaced. The normal life span
of a drilling riser tensioner hose is 15 years but this hose failed in only 4 years.
Records show that this drilling riser tensioner hose was in use thru three major
hurricanes which may have accelerated its failure.
After the situation was controlled, the trip tank was gauged for the amount of
synthetic based mud (SBM) it took to fill the riser
compared to the prior level in the trip tank and it
barrels of whole SBM and cuttings was spilled in to
5.175 bbls of synthetic oil).",,,,,,,,,,,,,,,,
